% function evaluation | noise-free fitness - Fopt (1.491500000000e+002) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
2995 +3.553534025e+002 +3.553534025e+002 +5.045034025e+002 +5.045034025e+002 -1.2717e+000 -9.0914e-001 -1.0263e+000 +1.0030e+000 -3.9082e+000 -2.4396e+000 -1.3493e+000 -1.4464e+000 -1.1778e+000 -1.3938e-001 -2.4331e+000 -2.9959e-002 +1.7210e+000 -1.5600e+000 -6.3985e-001 -1.5968e-001 +2.0765e-001 +1.0782e+000 -8.9212e-001 -8.6551e-001
3564 +2.403359757e+002 +2.403359757e+002 +3.894859757e+002 +3.894859757e+002 -1.3715e+000 -8.5861e-001 -1.1694e+000 +9.2989e-001 -3.8976e+000 -2.3510e+000 -1.3551e+000 -1.7488e+000 -1.5255e+000 -1.8349e-001 -2.7003e+000 -5.5553e-001 +1.4922e+000 -1.2723e+000 -1.1186e+000 -4.4539e-001 +3.0179e-001 +1.0343e+000 -9.7691e-001 -5.6831e-001
4047 +1.363157396e+002 +1.363157396e+002 +2.854657396e+002 +2.854657396e+002 -1.8824e+000 -9.7065e-001 -9.4797e-001 +1.1018e+000 -3.8219e+000 -1.8878e+000 -1.6724e+000 -1.8696e+000 -9.7405e-001 -2.2617e-001 -2.7385e+000 -2.0869e-001 +1.6347e+000 -1.2276e+000 -9.4759e-001 -4.0023e-001 +2.7530e-001 +9.1980e-001 -1.0054e+000 -5.1251e-001
5171 +9.943938877e+001 +9.943938877e+001 +2.485893888e+002 +2.485893888e+002 -1.7603e+000 -8.7797e-001 -7.7535e-001 +9.9435e-001 -3.7777e+000 -2.1865e+000 -1.9592e+000 -1.9905e+000 -8.8034e-001 -4.2018e-001 -2.7605e+000 -1.8262e-001 +1.5570e+000 -1.0514e+000 -9.5016e-001 -4.0713e-001 +3.4288e-001 +1.0807e+000 -8.3189e-001 +6.7901e-002
23019 +6.304089150e+001 +6.304089150e+001 +2.121908915e+002 +2.121908915e+002 -1.7120e-001 -5.6789e-001 -3.1250e-001 +1.2601e+000 -3.5486e+000 -2.2257e+000 -1.7970e+000 -1.9497e+000 -8.5328e-001 -3.2700e-001 -2.2390e+000 +4.2065e-001 +2.4324e+000 -1.0761e+000 -1.4169e+000 -1.3552e+000 -8.5254e-001 -3.2382e-001 -2.6762e+000 -3.7557e+000
23422 +3.810089318e+001 +3.810089318e+001 +1.872508932e+002 +1.872508932e+002 -1.5890e-001 -5.0246e-001 -2.2103e-001 +1.3668e+000 -3.5667e+000 -2.2768e+000 -1.7128e+000 -1.9004e+000 -8.5745e-001 -6.2104e-001 -2.6604e+000 -3.9370e-002 +1.8517e+000 -1.4485e+000 -1.7015e+000 -1.5853e+000 -8.7338e-001 -3.4222e-001 -2.4933e+000 -3.7721e+000
23834 +2.503663737e+001 +2.503663737e+001 +1.741866374e+002 +1.741866374e+002 -1.4604e-001 -5.6458e-001 -2.4720e-001 +1.3576e+000 -3.5206e+000 -2.2741e+000 -1.7055e+000 -1.8845e+000 -8.4502e-001 -4.5652e-001 -2.7182e+000 -2.4860e-001 +1.8571e+000 -1.6199e+000 -1.6431e+000 -1.4684e+000 -7.8852e-001 -3.7728e-001 -2.7200e+000 -3.7748e+000
26020 +1.584138384e+001 +1.584138384e+001 +1.649913838e+002 +1.649913838e+002 -1.5144e-001 -5.5333e-001 -3.2726e-001 +1.2664e+000 -3.5899e+000 -2.2172e+000 -1.7872e+000 -2.0553e+000 -8.4766e-001 -4.9131e-001 -2.6598e+000 -2.2409e-001 +1.7561e+000 -1.5499e+000 -1.6831e+000 -1.4712e+000 -8.5515e-001 -3.5359e-001 -2.7936e+000 -3.8473e+000
37571 +9.907476001e+000 +9.907476001e+000 +1.590574760e+002 +1.590574760e+002 -6.9650e-002 -3.7284e-001 +1.3069e-002 +1.8323e+000 -2.7733e+000 -1.2732e+000 -9.6746e-001 -1.3593e+000 -3.9348e-001 -2.1791e-001 -2.6162e+000 -2.1234e-001 +1.7626e+000 -1.5509e+000 -1.6946e+000 -1.4631e+000 -8.5131e-001 -3.5426e-001 -2.8056e+000 -3.8696e+000
43991 +6.212266991e+000 +6.212266991e+000 +1.553622670e+002 +1.553622670e+002 -6.0137e-002 -3.6869e-001 +1.4314e-002 +1.8482e+000 -2.7324e+000 -1.1922e+000 -8.2411e-001 -1.1092e+000 +2.5924e-002 +3.9739e-001 -1.8429e+000 +4.7327e-001 +2.2246e+000 -1.3421e+000 -1.6284e+000 -1.4626e+000 -8.6261e-001 -3.5723e-001 -2.8034e+000 -3.8492e+000
47279 +3.958465653e+000 +3.958465653e+000 +1.531084657e+002 +1.531084657e+002 -4.9874e-002 -3.7265e-001 +2.0111e-002 +1.8408e+000 -2.7424e+000 -1.1862e+000 -8.2672e-001 -1.0866e+000 +7.4904e-002 +4.8705e-001 -1.7013e+000 +7.0391e-001 +2.6023e+000 -8.1291e-001 -1.1377e+000 -1.1666e+000 -7.5275e-001 -3.4775e-001 -2.8023e+000 -3.8095e+000
