% function evaluation | noise-free fitness - Fopt (1.491500000000e+002) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
3025 +3.951096441e+002 +3.951096441e+002 +5.442596441e+002 +5.442596441e+002 -7.5101e-001 -1.5404e+000 -6.6884e-001 +1.0435e+000 -3.5347e+000 -2.8791e+000 -1.6316e+000 -2.9680e+000 -2.2653e-001 -1.3251e-001 -2.6061e+000 -6.5785e-001 +2.3610e+000 -7.8111e-001 -7.9312e-001 -6.7902e-001 -9.2402e-001 -1.0993e-001 -3.4896e+000 -2.8190e+000
3374 +2.406794736e+002 +2.406794736e+002 +3.898294736e+002 +3.898294736e+002 -1.2091e+000 -1.6753e+000 -6.2590e-001 +7.9929e-001 -3.5015e+000 -2.6654e+000 -1.7948e+000 -2.1483e+000 -2.3382e-001 +5.7612e-002 -2.5214e+000 -6.3531e-001 +2.1787e+000 -7.0874e-001 -8.2444e-001 -8.1841e-001 -7.0661e-001 -2.0389e-001 -3.3284e+000 -3.3925e+000
4198 +1.533207869e+002 +1.533207869e+002 +3.024707869e+002 +3.024707869e+002 -8.5274e-001 -1.5156e+000 -6.4996e-001 +9.7282e-001 -3.6965e+000 -1.7549e+000 -1.8390e+000 -1.5894e+000 -1.4665e-001 +5.2106e-002 -2.2730e+000 +3.0744e-001 +2.5430e+000 -6.6787e-001 -1.1235e+000 -1.0702e+000 -6.2331e-001 -2.3959e-001 -2.7033e+000 -3.9149e+000
5026 +9.293240982e+001 +9.293240982e+001 +2.420824098e+002 +2.420824098e+002 -7.8159e-001 -1.1927e+000 -7.9325e-001 +1.0956e+000 -3.6591e+000 -2.0684e+000 -1.6048e+000 -1.8232e+000 -5.2287e-001 +1.3722e-001 -2.1595e+000 +4.6536e-001 +2.4279e+000 -8.3248e-001 -1.1913e+000 -1.1373e+000 -6.8764e-001 -2.2849e-001 -2.7860e+000 -3.8342e+000
6237 +6.061456414e+001 +6.061456414e+001 +2.097645641e+002 +2.097645641e+002 -3.9883e-001 -8.4147e-001 -6.8269e-001 +1.0225e+000 -3.6919e+000 -2.1820e+000 -1.8146e+000 -2.0549e+000 -8.4881e-001 -2.8023e-001 -2.2413e+000 +3.2678e-001 +2.1741e+000 -1.1286e+000 -1.4039e+000 -1.3683e+000 -6.3351e-001 -2.9225e-001 -2.8065e+000 -3.9413e+000
6697 +3.616227094e+001 +3.616227094e+001 +1.853122709e+002 +1.853122709e+002 -2.9593e-001 -6.7493e-001 -4.3217e-001 +1.1332e+000 -3.6514e+000 -2.2478e+000 -1.8290e+000 -2.1275e+000 -7.4021e-001 -5.6780e-001 -2.4029e+000 +2.6578e-002 +1.8508e+000 -1.5783e+000 -1.7109e+000 -1.5692e+000 -6.8863e-001 -3.2013e-001 -2.8022e+000 -3.9589e+000
7291 +2.475849391e+001 +2.475849391e+001 +1.739084939e+002 +1.739084939e+002 -2.9167e-001 -6.9423e-001 -5.2532e-001 +1.1172e+000 -3.6810e+000 -2.2401e+000 -1.8027e+000 -2.1099e+000 -9.3277e-001 -4.6090e-001 -2.6306e+000 -7.9239e-002 +1.8597e+000 -1.6412e+000 -1.6920e+000 -1.4500e+000 -6.6986e-001 -3.5631e-001 -2.7901e+000 -3.8794e+000
9514 +1.584118566e+001 +1.584118566e+001 +1.649911857e+002 +1.649911857e+002 -2.2642e-001 -6.7681e-001 -5.0376e-001 +1.0872e+000 -3.6637e+000 -2.1736e+000 -1.7856e+000 -2.0668e+000 -9.1050e-001 -4.8122e-001 -2.6657e+000 -2.0729e-001 +1.7677e+000 -1.5452e+000 -1.6804e+000 -1.4725e+000 -8.4513e-001 -3.5266e-001 -2.8045e+000 -3.8376e+000
23037 +9.999616374e+000 +9.999616374e+000 +1.591496164e+002 +1.591496164e+002 -6.0872e-002 -3.8971e-001 -1.8486e-003 +1.8238e+000 -2.7692e+000 -1.2651e+000 -9.5523e-001 -1.3492e+000 -3.8309e-001 -2.1427e-001 -2.6052e+000 -2.0950e-001 +1.7377e+000 -1.5500e+000 -1.6782e+000 -1.4834e+000 -8.6914e-001 -3.7790e-001 -2.7721e+000 -3.8709e+000
29882 +6.289522786e+000 +6.289522786e+000 +1.554395228e+002 +1.554395228e+002 -7.0290e-002 -3.8288e-001 +1.5681e-002 +1.8371e+000 -2.7376e+000 -1.1981e+000 -8.2263e-001 -1.1068e+000 +3.3860e-002 +4.0913e-001 -1.8497e+000 +4.6455e-001 +2.2290e+000 -1.3310e+000 -1.6398e+000 -1.4630e+000 -8.4447e-001 -3.3347e-001 -2.8176e+000 -3.8751e+000
34871 +3.972459249e+000 +3.972459249e+000 +1.531224592e+002 +1.531224592e+002 -6.0307e-002 -3.6690e-001 +2.3156e-002 +1.8510e+000 -2.7374e+000 -1.1984e+000 -8.1886e-001 -1.0733e+000 +7.7999e-002 +4.8084e-001 -1.7152e+000 +7.0128e-001 +2.5885e+000 -8.4127e-001 -1.1648e+000 -1.2048e+000 -8.0786e-001 -3.4394e-001 -2.7949e+000 -3.8607e+000
37457 +2.506967961e+000 +2.506967961e+000 +1.516569680e+002 +1.516569680e+002 -4.7414e-002 -3.6282e-001 +1.4627e-002 +1.8390e+000 -2.7449e+000 -1.1990e+000 -8.1943e-001 -1.0866e+000 +8.5379e-002 +4.9927e-001 -1.7039e+000 +7.4306e-001 +2.6896e+000 -6.5831e-001 -8.7557e-001 -8.1420e-001 -4.4124e-001 -1.9679e-001 -2.7851e+000 -3.8672e+000
