% function evaluation | noise-free fitness - Fopt (6.870000000000e+000) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
5 +6.089877470e+002 +6.089877470e+002 +6.089977470e+002 +6.089977470e+002 +1.2397e+001 +1.0097e+001 +7.0770e+000 +7.7151e+000 +1.1334e+001 +7.1241e+000 +9.2855e+000 +5.0654e+000 +1.4147e+001 +7.2080e+000 +1.4004e+001 +9.3852e+000 +1.2612e+001 +5.2766e+000 +8.1651e+000 +6.6468e+000 +1.1560e+001 +1.2795e+001 +1.3419e+001 +6.9729e+000
42 +3.737206174e+002 +3.737206174e+002 +3.737306174e+002 +3.737306174e+002 +5.9394e+000 +9.1768e+000 +8.7137e+000 +8.1784e+000 +1.2683e+001 +9.6162e+000 +8.7957e+000 +1.2705e+001 +9.3788e+000 +5.0413e+000 +8.0047e+000 +9.2404e+000 +5.5598e+000 +5.7333e+000 +5.1803e+000 +1.0721e+001 +1.1006e+001 +7.0531e+000 +1.1309e+001 +5.7493e+000
626 +2.330511944e+002 +2.330511944e+002 +2.330611944e+002 +2.330611944e+002 +7.7535e+000 +9.9726e+000 +7.0177e+000 +5.1952e+000 +9.9924e+000 +5.3609e+000 +5.1366e+000 +4.4532e+000 +7.1260e+000 +7.9784e+000 +1.2097e+001 +4.7030e+000 +9.6414e+000 +8.5042e+000 -1.1796e+000 +4.2215e+000 +4.6279e+000 +9.1905e+000 +4.7156e+000 +1.0763e+001
843 +1.415378442e+002 +1.415378442e+002 +1.415478442e+002 +1.415478442e+002 +6.8154e+000 +7.8520e+000 +6.8529e+000 -3.9652e+000 +7.6050e+000 +2.4213e+000 +7.3886e+000 +5.7248e+000 +8.0621e+000 +4.1152e+000 +1.0412e+001 +5.9600e+000 +9.0824e+000 +6.7676e+000 +4.3477e+000 +7.6877e+000 +5.6978e+000 +9.9718e+000 +7.3704e+000 +6.9052e+000
1212 +9.908304532e+001 +9.908304532e+001 +9.909304532e+001 +9.909304532e+001 +6.0838e+000 +8.8739e+000 +7.1805e+000 -1.3518e+000 +4.6845e+000 +6.1619e+000 +4.9727e+000 +5.1668e+000 +6.5585e+000 +6.3848e+000 +9.8812e+000 +5.8579e+000 +7.6943e+000 +4.1599e+000 +3.6594e+000 +6.4147e+000 +2.9668e+000 +7.4236e+000 +4.2742e+000 +8.7933e+000
1537 +5.336742749e+001 +5.336742749e+001 +5.337742749e+001 +5.337742749e+001 +4.8079e+000 +7.4591e+000 +7.0776e+000 -4.1839e+000 +5.4411e+000 +3.8103e+000 +4.5703e+000 +3.9209e+000 +6.7328e+000 +5.5367e+000 +8.1373e+000 +4.5383e+000 +5.4601e+000 +3.7524e+000 +5.7540e+000 +6.0667e+000 +4.8360e+000 +8.5941e+000 +5.0587e+000 +7.1284e+000
1674 +3.187410950e+001 +3.187410950e+001 +3.188410950e+001 +3.188410950e+001 +2.6805e+000 +6.5450e+000 +7.0448e+000 -3.0516e+000 +5.9243e+000 +2.6365e+000 +3.8286e+000 +5.5614e+000 +5.8982e+000 +3.9808e+000 +6.9324e+000 +4.1968e+000 +5.5516e+000 +5.9443e+000 +1.8780e+000 +5.2607e+000 +4.7309e+000 +7.5543e+000 +5.0345e+000 +5.7085e+000
1840 +2.246201845e+001 +2.246201845e+001 +2.247201845e+001 +2.247201845e+001 +2.8913e+000 +5.8344e+000 +6.5350e+000 -2.0408e+000 +4.9540e+000 +1.3169e+000 +3.9143e+000 +6.2060e+000 +5.6920e+000 +4.0466e+000 +5.6430e+000 +3.9088e+000 +4.8303e+000 +5.6405e+000 +1.5010e+000 +5.2928e+000 +5.1088e+000 +7.4061e+000 +5.4236e+000 +5.2862e+000
1957 +1.557036489e+001 +1.557036489e+001 +1.558036489e+001 +1.558036489e+001 +2.9145e+000 +5.6488e+000 +6.7262e+000 -3.4082e+000 +4.6365e+000 +2.2875e+000 +3.9299e+000 +4.8349e+000 +5.5535e+000 +3.4898e+000 +6.2882e+000 +3.8198e+000 +4.3389e+000 +5.5637e+000 -9.0525e-002 +5.4894e+000 +5.1932e+000 +6.7214e+000 +5.5015e+000 +4.9895e+000
2685 +9.757844725e+000 +9.757844725e+000 +9.767844725e+000 +9.767844725e+000 +2.9066e+000 +5.7628e+000 +5.5501e+000 -2.3171e+000 +4.9510e+000 +1.8803e+000 +3.9186e+000 +5.3084e+000 +4.9521e+000 +3.3767e+000 +4.5446e+000 +4.2001e+000 +4.3307e+000 +5.5749e+000 +2.4741e+000 +5.4218e+000 +4.1614e+000 +6.7755e+000 +4.9467e+000 +5.3886e+000
