% function evaluation | noise-free fitness - Fopt (-2.098800000000e+002) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.080203262e+006 +7.080203262e+006 +7.079993382e+006 +7.079993382e+006 -4.8480e+000 -7.3401e-001 +3.8319e+000 -1.6356e+000 +2.9142e+000 -3.6735e+000 +4.0090e+000 +7.6608e-001 -2.4369e+000 -1.6139e+000 -1.9841e+000 -2.5408e+000 -4.9613e+000 +5.4599e-002 +4.1633e+000 -1.7180e+000 +3.1616e+000 +4.4666e+000 -2.7841e+000 +1.3484e+000
62 +2.890843601e+006 +2.890843601e+006 +2.890633721e+006 +2.890633721e+006 -1.4440e+000 -3.2569e-001 +1.4174e-001 -2.1227e+000 +3.1510e+000 -3.7950e+000 +1.7204e+000 -3.3872e+000 +1.6844e+000 +2.4517e-001 -3.8810e+000 +1.8495e+000 +3.2908e+000 -5.6164e+000 +1.4989e-001 -1.7766e+000 +1.2429e+000 +3.9876e+000 -2.7485e+000 +1.9096e+000
64 +2.144426379e+006 +2.144426379e+006 +2.144216499e+006 +2.144216499e+006 +2.5376e+000 +3.5452e+000 -8.8506e-002 +3.0992e+000 +5.6396e+000 -1.1722e+000 +9.6377e-001 -2.5848e+000 +5.7310e+000 +7.6746e-001 -1.9439e-001 -1.6228e+000 -3.0002e+000 -3.7136e-001 -1.8457e+000 -2.0034e+000 +1.7335e-001 +2.0550e+000 -1.7177e+000 +1.6471e+000
215 +1.472481663e+006 +1.472481663e+006 +1.472271783e+006 +1.472271783e+006 +2.7260e+000 +1.1069e+000 +1.8527e+000 -3.1574e-002 +6.5401e+000 -2.1785e+000 -4.9130e+000 -3.1809e+000 +1.0856e+001 +1.7744e+000 +7.6322e-002 +1.5247e+000 -6.9276e-001 +1.8197e+000 -7.3417e-001 -3.6615e+000 -4.7728e+000 +1.7588e+000 -1.5375e+000 +2.0558e+000
306 +5.955847270e+005 +5.955847270e+005 +5.953748470e+005 +5.953748470e+005 +4.8642e+000 +1.8741e+000 +2.2811e+000 +3.5392e+000 +7.8774e+000 -1.2560e+000 -3.7020e+000 -4.9406e+000 +1.1079e+001 +1.4342e+000 -2.0527e+000 +6.0165e-001 -1.2150e+000 +6.0977e-001 -1.5381e+000 -3.8144e+000 -3.7818e+000 +2.5760e+000 -2.7603e+000 +1.5693e+000
690 +2.753082205e+005 +2.753082205e+005 +2.750983405e+005 +2.750983405e+005 +4.6593e+000 +1.9714e+000 +2.0225e+000 +2.6037e+000 +7.5384e+000 -2.1981e+000 +2.0032e+000 -6.3793e+000 +1.2874e+001 +3.8005e-001 -1.3079e+000 -6.0609e-001 +1.5595e-002 -9.9080e-001 -1.4041e+000 -4.5551e+000 -2.7671e+000 +3.3659e+000 -2.4154e+000 +1.9733e+000
947 +2.224781143e+005 +2.224781143e+005 +2.222682343e+005 +2.222682343e+005 +4.6314e+000 +1.5402e+000 +1.7998e+000 +2.3942e+000 +4.9396e+000 -1.2023e+000 +4.2235e+000 -6.3068e+000 +1.5370e+001 -2.8083e+000 -1.0280e+000 +3.6547e-001 +1.2211e+000 -2.1258e+000 -1.4419e+000 -4.1427e+000 -3.5144e+000 +3.1048e+000 -2.2211e+000 +1.9481e+000
1373 +1.436211310e+005 +1.436211310e+005 +1.434112510e+005 +1.434112510e+005 +4.3725e+000 +1.8007e+000 +1.0280e-001 +2.1493e+000 +4.7075e+000 -9.2379e+000 -4.1268e+000 -6.2258e+000 +1.6529e+001 -8.6526e-002 +9.8319e-001 +7.2770e-001 +4.0258e+000 -2.5558e+000 -1.8114e+000 -3.8681e+000 -3.1232e+000 +3.0332e+000 -2.4226e+000 +1.8398e+000
1473 +9.448004624e+004 +9.448004624e+004 +9.427016624e+004 +9.427016624e+004 +2.9676e+000 +1.6060e+000 +6.4396e-001 +2.2714e+000 +4.3024e+000 -4.9030e+000 -2.7338e+000 -6.2394e+000 +7.3000e+000 -7.3296e-001 +3.7423e-001 +2.9326e-001 +3.6455e+000 -1.7416e+000 -8.5667e-001 -4.0166e+000 -3.2875e+000 +2.8923e+000 -2.2570e+000 +1.8192e+000
1564 +5.741146033e+004 +5.741146033e+004 +5.720158033e+004 +5.720158033e+004 +3.6984e+000 -5.6658e-001 +1.0495e+000 +6.3910e+000 +5.8207e+000 +3.1480e+000 -1.6889e+000 -6.0086e+000 -2.6092e-001 +8.3174e-001 +2.2322e+000 -3.8118e-001 +4.3338e+000 -8.4805e-001 -1.4925e+000 -4.0773e+000 -3.3081e+000 +2.8261e+000 -2.3249e+000 +1.8918e+000
1667 +3.056675044e+004 +3.056675044e+004 +3.035687044e+004 +3.035687044e+004 +3.4560e+000 +4.8522e-001 -8.1756e-001 +1.4363e+000 +2.2180e+000 +2.5574e+000 -1.2245e+000 -5.9281e+000 +1.4840e+000 +6.8246e-001 +1.0782e+000 +2.4524e+000 +4.5707e+000 -1.6083e+000 -1.1594e+000 -3.6814e+000 -3.1939e+000 +2.8964e+000 -2.4185e+000 +1.9279e+000
1833 +1.998669685e+004 +1.998669685e+004 +1.977681685e+004 +1.977681685e+004 +3.9909e+000 +1.5911e+000 -4.3845e-001 +2.1484e+000 +1.4189e+000 +2.2376e+000 -1.3700e+000 -5.5062e+000 +1.3960e+000 -1.1388e-001 +1.2800e-001 +1.3258e+000 +4.3598e+000 -1.3132e+000 -1.3294e+000 -3.8718e+000 -3.1924e+000 +3.0051e+000 -2.3455e+000 +1.9005e+000
2026 +1.583147589e+004 +1.583147589e+004 +1.562159589e+004 +1.562159589e+004 +4.1400e+000 +1.0526e+000 -9.5502e-001 -1.6165e+000 +2.8399e+000 +5.9249e+000 +2.9139e+000 -5.7318e+000 -2.7969e+000 +2.5200e-001 +2.8049e-001 +1.7441e+000 +4.2987e+000 -1.5321e+000 -1.3093e+000 -3.8118e+000 -2.9267e+000 +3.0262e+000 -2.3872e+000 +1.8959e+000
2261 +9.182187243e+003 +9.182187243e+003 +8.972307243e+003 +8.972307243e+003 +4.5320e+000 +5.4749e-001 -3.3536e-001 +1.3025e+000 +3.2287e+000 +4.3878e+000 +2.5000e+000 -5.5757e+000 -3.8325e-001 +1.6783e+000 +5.8105e-001 +2.1443e+000 +4.1424e+000 -1.6245e+000 -1.4423e+000 -3.7723e+000 -3.0323e+000 +3.0149e+000 -2.4030e+000 +1.8981e+000
2780 +6.282469177e+003 +6.282469177e+003 +6.072589177e+003 +6.072589177e+003 +4.2464e+000 +6.8827e-001 -3.8415e-001 +4.6073e-001 +3.0430e+000 +3.6157e+000 +2.1407e+000 -5.6973e+000 -1.5008e+000 +2.5874e+000 +1.1576e+000 +1.5363e+000 +4.2167e+000 -1.4450e+000 -1.5404e+000 -3.7514e+000 -3.0061e+000 +3.0947e+000 -2.4017e+000 +1.9139e+000
2929 +3.973867237e+003 +3.973867237e+003 +3.763987237e+003 +3.763987237e+003 +4.3041e+000 -7.4794e-002 -6.0400e-001 -1.1251e+000 +3.1272e+000 +4.1361e+000 +2.2299e+000 -4.2852e+000 -1.9716e+000 +2.7468e+000 +1.2827e+000 +1.4331e+000 +4.0772e+000 -1.4253e+000 -1.5054e+000 -3.7346e+000 -3.0620e+000 +3.0629e+000 -2.3915e+000 +1.9095e+000
3172 +2.112156510e+003 +2.112156510e+003 +1.902276510e+003 +1.902276510e+003 +4.2522e+000 -1.5016e-001 +2.4080e-002 -1.1988e+000 +2.0787e+000 +3.2264e+000 +3.1246e+000 -1.4063e+000 -1.8708e+000 +2.5109e+000 +5.6784e-001 +1.7385e+000 +3.9737e+000 -1.5563e+000 -1.5754e+000 -3.7572e+000 -3.1257e+000 +3.0884e+000 -2.3917e+000 +1.9073e+000
3254 +1.502557438e+003 +1.502557438e+003 +1.292677438e+003 +1.292677438e+003 +4.2661e+000 -1.9393e+000 -3.4903e-001 -3.9653e+000 +2.0000e+000 +3.2496e+000 +4.1797e+000 -7.7479e-002 -1.6008e+000 +2.8103e+000 +4.1527e-001 +1.6673e+000 +3.8945e+000 -1.4799e+000 -1.5830e+000 -3.7416e+000 -3.0869e+000 +3.0547e+000 -2.3664e+000 +1.9209e+000
3484 +9.790957925e+002 +9.790957925e+002 +7.692157925e+002 +7.692157925e+002 +4.1483e+000 -1.4879e+000 -6.8362e-001 -1.7403e+000 +2.4063e+000 +3.2130e+000 +3.2087e+000 -9.1298e-001 -1.5046e+000 +2.8281e+000 +4.2586e-001 +1.6892e+000 +3.9787e+000 -1.4182e+000 -1.5620e+000 -3.7293e+000 -3.0557e+000 +3.0540e+000 -2.3804e+000 +1.9189e+000
3704 +6.013167773e+002 +6.013167773e+002 +3.914367773e+002 +3.914367773e+002 +3.9204e+000 -2.1865e+000 -4.0987e-001 -1.5935e+000 +1.0951e+000 +3.2363e+000 +3.0799e+000 -3.1328e-001 -1.3953e+000 +2.5487e+000 +7.4408e-001 +1.6840e+000 +4.0174e+000 -1.3662e+000 -1.5413e+000 -3.7294e+000 -3.0561e+000 +3.0805e+000 -2.3806e+000 +1.9203e+000
3928 +3.831540219e+002 +3.831540219e+002 +1.732740219e+002 +1.732740219e+002 +3.1517e+000 -2.3481e+000 -4.2492e-001 -2.1453e-001 +3.1223e-001 +3.4385e+000 +2.8506e+000 -3.1225e-001 -1.5032e+000 +2.6352e+000 +9.4236e-001 +1.5966e+000 +3.9799e+000 -1.3498e+000 -1.5264e+000 -3.7496e+000 -3.0632e+000 +3.0648e+000 -2.3814e+000 +1.9183e+000
4100 +2.179972155e+002 +2.179972155e+002 +8.117215546e+000 +8.117215546e+000 +3.4831e+000 +4.3248e-001 -5.9090e-001 +8.4699e-001 +1.0772e+000 +2.7386e+000 +2.8333e+000 +7.4518e-002 -1.1950e+000 +2.7401e+000 +8.8522e-001 +1.5363e+000 +3.9817e+000 -1.4049e+000 -1.5399e+000 -3.7498e+000 -3.0780e+000 +3.0566e+000 -2.3781e+000 +1.9201e+000
4155 +1.455467833e+002 +1.455467833e+002 -6.433321670e+001 -6.433321670e+001 +3.2908e+000 +1.7141e+000 -2.6998e-001 +1.7700e+000 +1.7563e+000 +2.4335e+000 +2.7091e+000 -3.1289e-001 -1.0901e+000 +2.7186e+000 +8.3538e-001 +1.5017e+000 +3.9890e+000 -1.4181e+000 -1.5241e+000 -3.7642e+000 -3.0727e+000 +3.0603e+000 -2.3779e+000 +1.9221e+000
4560 +9.322827089e+001 +9.322827089e+001 -1.166517291e+002 -1.166517291e+002 +3.3149e+000 +1.9698e+000 +2.5528e-001 +1.9756e+000 +1.8658e+000 +2.7410e+000 +2.4883e+000 -3.5952e-001 -1.0623e+000 +2.6325e+000 +8.2883e-001 +1.5379e+000 +3.9754e+000 -1.4024e+000 -1.5153e+000 -3.7726e+000 -3.0621e+000 +3.0617e+000 -2.3826e+000 +1.9205e+000
4841 +6.152330120e+001 +6.152330120e+001 -1.483566988e+002 -1.483566988e+002 +3.1380e+000 +2.2187e+000 +5.8401e-001 +1.9375e+000 +1.6828e+000 +2.8627e+000 +2.1078e+000 -4.5157e-002 -1.0559e+000 +2.6235e+000 +8.8301e-001 +1.5734e+000 +3.9663e+000 -1.4143e+000 -1.5335e+000 -3.7776e+000 -3.0623e+000 +3.0631e+000 -2.3822e+000 +1.9205e+000
