% function evaluation | noise-free fitness - Fopt (-1.000000000000e+003) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.634043520e+001 +8.634043520e+001 -9.136595648e+002 -9.136595648e+002 -3.2104e+000 -4.3729e-001 -1.2502e+000 -1.0436e+000 +3.7809e+000 -4.2690e+000 +4.6966e+000 +4.3784e+000 -4.1041e+000 +2.1392e+000 -4.7096e-001 -2.7421e+000 +4.2758e+000 -2.2371e-001 -2.7486e-001 -3.0017e+000 -2.7220e-001 +8.4635e-001 -2.0062e+000 -4.1923e+000
% function evaluation | noise-free fitness - Fopt (1.000000000000e+003) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.629099641e+001 +8.629099641e+001 +1.086290996e+003 +1.086290996e+003 -2.8409e+000 +2.4423e+000 -3.1783e+000 +2.0644e+000 -1.7102e+000 -3.1531e+000 +4.8842e+000 -1.4701e-001 -3.3186e+000 +3.5474e+000 +1.7781e+000 +7.5077e-002 -2.2392e+000 +1.5365e+000 -2.3912e+000 +2.9373e-002 +1.5355e+000 -6.7027e-001 -4.7490e+000 +1.7573e+000
% function evaluation | noise-free fitness - Fopt (-4.913000000000e+001) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.638312658e+001 +8.638312658e+001 +3.725312658e+001 +3.725312658e+001 -2.0115e+000 -4.6347e+000 +4.3109e+000 +4.5008e+000 +3.7403e+000 +2.8891e+000 -3.4325e+000 +2.3652e+000 -1.0422e+000 +1.7082e+000 -2.9476e+000 +2.9364e+000 -9.5646e-001 -2.1581e+000 -4.4219e+000 +4.4388e+000 -3.1175e-001 +3.0740e+000 -4.6535e+000 +4.9320e-001
% function evaluation | noise-free fitness - Fopt (2.977300000000e+002) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.514078976e+001 +8.514078976e+001 +3.828707898e+002 +3.828707898e+002 -4.1009e+000 -7.0254e-001 +1.1752e+000 -3.4607e+000 +4.6305e+000 +9.0507e-001 -4.9165e+000 +2.3862e+000 +1.9464e+000 -3.2369e+000 -1.8289e+000 +1.6218e+000 -3.8837e+000 +3.6751e-001 -2.8634e+000 +4.2630e+000 -3.4736e+000 +1.6954e+000 +1.1232e+000 +3.7450e+000
% function evaluation | noise-free fitness - Fopt (5.157000000000e+001) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.416497773e+001 +8.416497773e+001 +1.357349777e+002 +1.357349777e+002 -3.1215e+000 +3.9412e+000 +2.1194e+000 -4.3145e-001 -3.5150e+000 -4.4975e+000 -4.4272e-001 +3.4383e+000 -4.3913e+000 -2.1928e+000 +9.6634e-001 -1.5929e+000 -6.1390e-001 -7.1689e-001 +1.2856e+000 -4.8227e+000 +4.2537e+000 -1.8918e+000 -4.2866e+000 -4.5760e+000
% function evaluation | noise-free fitness - Fopt (1.495000000000e+001) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.647093044e+001 +8.647093044e+001 +1.014209304e+002 +1.014209304e+002 +3.5492e-001 -1.2082e-001 +4.5367e+000 +2.0151e+000 +1.0501e+000 -4.9477e+000 -3.5331e+000 +4.4739e+000 -1.1117e+000 -9.2335e-001 +1.4828e+000 -1.5664e+000 -4.1667e+000 +1.8331e+000 -2.9689e+000 -8.4368e-001 -3.6826e+000 +2.8250e+000 +4.0581e+000 +4.8812e+000
% function evaluation | noise-free fitness - Fopt (6.938000000000e+001) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.639949576e+001 +8.639949576e+001 +1.557794958e+002 +1.557794958e+002 +4.7131e+000 -3.8506e+000 +9.7210e-001 +1.9552e+000 -2.6903e+000 +2.4521e+000 -7.6994e-001 +4.1593e+000 +1.7332e+000 -3.7488e+000 -2.5020e+000 -2.2099e+000 -3.4178e+000 +3.5750e+000 +2.7486e-001 +2.3870e+000 -2.9492e+000 +1.5242e+000 +1.2251e+000 -4.6847e+000
% function evaluation | noise-free fitness - Fopt (7.255000000000e+001) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.071756463e+001 +8.071756463e+001 +1.532675646e+002 +1.532675646e+002 +3.6331e+000 -2.5560e+000 -2.7322e+000 +2.2955e-001 +4.1346e-001 -4.1550e+000 +1.1855e+000 +4.2064e-001 -3.2763e-001 +6.4286e-001 -4.0879e+000 +1.6023e+000 +1.1750e+000 -2.7133e+000 +1.3804e-001 -2.3323e-001 -1.3864e+000 +2.5229e+000 -4.2553e+000 -4.5080e-001
% function evaluation | noise-free fitness - Fopt (-5.473100000000e+002) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.540404285e+001 +8.540404285e+001 -4.619059572e+002 -4.619059572e+002 -8.9961e-001 +1.3968e-002 -2.0375e+000 -1.2057e-002 +1.4568e+000 +7.1538e-001 +1.9350e+000 +2.3969e+000 -8.7164e-001 +4.0304e+000 -4.4712e+000 -2.3361e+000 +3.5211e+000 +3.3204e+000 +3.5759e+000 -1.8494e+000 -8.2741e-001 +4.9516e+000 -2.6757e+000 -8.2804e-001
% function evaluation | noise-free fitness - Fopt (1.000000000000e+003) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.285822302e+001 +8.285822302e+001 +1.082858223e+003 +1.082858223e+003 +4.0557e+000 -3.8429e+000 -1.6280e+000 +2.0082e-002 +2.9313e-001 +8.4787e-001 -4.3389e+000 +2.6548e+000 -2.3105e+000 +4.3705e+000 -1.6032e+000 +2.9074e-001 -2.7002e+000 -4.7538e-001 -1.3703e+000 -1.3754e+000 +2.8267e+000 +2.7232e+000 +7.7477e-001 +4.1050e+000
% function evaluation | noise-free fitness - Fopt (2.935800000000e+002) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.614807655e+001 +8.614807655e+001 +3.797280766e+002 +3.797280766e+002 +4.5046e+000 -2.5728e+000 -3.9896e+000 +1.0419e+000 -1.9317e-001 -8.8062e-001 +4.8261e+000 +3.0067e+000 -3.1125e-001 -3.4489e+000 -4.5033e+000 -1.3863e+000 -3.5151e-001 +2.5494e+000 -3.0962e+000 +1.4657e+000 +3.1206e+000 -1.1974e+000 +1.1286e+000 -1.7746e+000
% function evaluation | noise-free fitness - Fopt (3.712600000000e+002) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
