% function evaluation | noise-free fitness - Fopt (3.590000000000e+001) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
3757 +4.129815252e+002 +4.129815252e+002 +4.488815252e+002 +4.488815252e+002 +8.8796e-001 +5.6351e+000 +3.5180e+000 +0.0000e+000 -8.3007e-001 -8.4832e+000 -2.2766e-001 -6.7099e+000 +6.0926e-001 -3.7033e-001 -2.0374e+000 +0.0000e+000 -7.8902e-002 -7.5156e-001 +0.0000e+000 -4.5077e+000 -3.5042e-001 +1.1400e+001 -2.4824e+000 -5.7807e+000
4360 +2.811464305e+002 +2.811464305e+002 +3.170464305e+002 +3.170464305e+002 +5.1003e-001 +5.9485e+000 +2.8049e+000 +0.0000e+000 -5.9214e-001 -8.4351e+000 -4.9175e-001 -6.6369e+000 -8.4070e-001 -7.5964e-001 -2.9435e+000 +0.0000e+000 +1.0147e-001 -3.5588e+000 +0.0000e+000 -5.1333e+000 -1.8275e-001 +9.3419e+000 +2.8255e-004 -6.1433e+000
5030 +2.187084228e+002 +2.187084228e+002 +2.546084228e+002 +2.546084228e+002 -1.9234e-001 +5.1719e+000 +5.0064e+000 +0.0000e+000 -3.2689e+000 -7.4994e+000 +1.0690e-001 -6.4727e+000 +5.1492e-001 -2.1533e+000 -2.1600e+000 +0.0000e+000 +6.1097e-001 -2.7903e+000 +0.0000e+000 -4.7665e+000 -2.8732e-001 +8.0255e+000 -8.1523e-001 -5.5182e+000
% function evaluation | noise-free fitness - Fopt (3.137000000000e+001) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +9.898523286e+006 +9.898523286e+006 +9.898554656e+006 +9.898554656e+006 +8.9537e+000 +6.5759e+000 +1.2386e+001 +1.4178e+001 +1.2530e+001 +7.1440e+000 +1.4966e+001 +1.0224e+001 +1.4991e+001 +9.4460e+000 +1.4489e+001 +9.6877e+000 +1.0214e+001 +9.3198e+000 +7.7255e+000 +5.5433e+000 +6.4778e+000 +1.1419e+001 +1.1391e+001 +1.0906e+001
6 +6.150210180e+006 +6.150210180e+006 +6.150241550e+006 +6.150241550e+006 +6.8413e+000 +1.4530e+001 +5.3399e+000 +1.0862e+001 +6.6036e+000 +7.9054e+000 +9.6157e+000 +7.6839e+000 +7.2131e+000 +7.0660e+000 +7.5278e+000 +9.1429e+000 +1.0865e+001 +5.7066e+000 +1.3576e+001 +8.6061e+000 +9.3733e+000 +1.0975e+001 +5.5340e+000 +1.1254e+001
55 +3.777288378e+005 +3.777288378e+005 +3.777602078e+005 +3.777602078e+005 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000
350 +1.712171778e+005 +1.712171778e+005 +1.712485478e+005 +1.712485478e+005 +5.2402e+000 +0.0000e+000 +2.5953e-002 +1.0532e+001 +0.0000e+000 -3.5850e-001 -3.7053e+000 +1.1673e+001 +5.5053e-001 +2.0278e+000 +0.0000e+000 +9.6023e-001 -2.0610e+000 +0.0000e+000 +7.1028e-001 +1.9995e+000 +0.0000e+000 -7.6862e-001 -1.3330e-001 -1.4751e+000
441 +1.191160868e+005 +1.191160868e+005 +1.191474568e+005 +1.191474568e+005 +4.7124e+000 +0.0000e+000 -5.1836e+000 +4.9289e+000 -1.8665e-001 -1.7925e-001 +2.3928e+000 +0.0000e+000 -4.1875e-001 +1.0139e+000 +0.0000e+000 +4.8011e-001 +0.0000e+000 +0.0000e+000 +1.2267e+000 +9.9977e-001 +0.0000e+000 -4.2261e-001 -7.7579e-001 +0.0000e+000
1010 +6.315465482e+004 +6.315465482e+004 +6.318602482e+004 +6.318602482e+004 +4.5852e+000 -1.9612e+000 -1.6867e+000 +4.8190e+000 +0.0000e+000 -1.7925e-001 -2.7211e+000 +3.2567e+000 -7.7694e-001 -2.5348e-001 +0.0000e+000 +6.9766e-001 -1.9322e-001 +1.0350e+000 +4.3456e-001 -1.1264e-001 +6.7848e-001 +1.4659e-001 -6.6651e-002 -3.3663e+000
1072 +3.022876426e+004 +3.022876426e+004 +3.026013426e+004 +3.026013426e+004 +4.7124e+000 -2.2465e+000 -5.1836e+000 +4.9289e+000 -1.8665e-001 -2.6842e+000 -6.9474e-001 +0.0000e+000 -4.1875e-001 +6.3655e-001 +0.0000e+000 +6.7938e-001 +6.1186e-001 +0.0000e+000 +1.2267e+000 +9.9977e-001 +0.0000e+000 -2.9178e-001 -7.7579e-001 +0.0000e+000
1423 +1.228028202e+004 +1.228028202e+004 +1.231165202e+004 +1.231165202e+004 +4.8443e+000 -1.8946e+000 -2.5918e+000 +5.2975e+000 -2.9165e-002 -7.4648e-001 -3.3958e+000 +8.3896e+000 -4.4635e-001 +6.9297e-001 +0.0000e+000 +7.7711e-001 +1.6101e-001 +9.7785e-001 +2.5009e+000 +1.8835e+000 +5.4272e-001 -1.1499e+000 -2.0551e-001 -1.3688e+000
1895 +3.160667613e+003 +3.160667613e+003 +3.192037613e+003 +3.192037613e+003 +7.9660e+000 -1.4014e+000 -6.2732e+000 +2.4401e+000 -2.1144e-001 -2.9268e+000 -2.4200e+000 +8.6798e+000 -6.1733e-001 -1.4568e+000 +0.0000e+000 +1.4299e+000 -2.2542e-001 -1.8914e-001 +1.5066e+000 +1.9006e+000 +1.1050e+000 -4.4023e-001 -6.6920e-002 -1.4394e+000
1906 +1.941894600e+003 +1.941894600e+003 +1.973264600e+003 +1.973264600e+003 +5.9981e+000 +8.7423e-001 -6.0112e+000 +5.0730e+000 -2.2530e-001 -3.3983e+000 -5.3021e+000 +6.6285e+000 -1.1752e+000 +9.1165e-002 +0.0000e+000 +5.7013e-001 -1.3485e-001 +9.6995e-001 +3.7645e+000 +3.0825e-001 +5.7444e-001 -6.4948e-001 +3.7768e-001 +2.3733e+000
2286 +1.477504182e+003 +1.477504182e+003 +1.508874182e+003 +1.508874182e+003 +7.1820e+000 -1.9899e+000 -3.8952e+000 +5.7621e+000 +8.6582e-002 -2.4065e+000 -2.4223e+000 +6.7957e+000 -4.8550e-001 -1.4453e+000 +0.0000e+000 -3.1700e-001 +1.8805e+000 +6.9011e-001 +4.4460e+000 +1.8417e+000 -2.7627e-001 -6.5697e-001 -1.4282e+000 +1.2800e+000
2319 +3.878004100e+002 +3.878004100e+002 +4.191704100e+002 +4.191704100e+002 +8.5812e+000 -1.7252e+000 -4.0303e+000 +3.2506e+000 +2.2056e-002 -2.7770e+000 -2.5100e+000 +9.6519e+000 -7.8864e-001 -2.2280e+000 +0.0000e+000 +1.4890e+000 +1.2623e+000 +4.3325e-001 +2.3399e+000 +1.7418e+000 +1.7017e+000 -5.1746e-001 -6.1427e-001 +0.0000e+000
2943 +2.157465348e+002 +2.157465348e+002 +2.471165348e+002 +2.471165348e+002 +6.4621e+000 -1.1695e+000 -7.5565e+000 +2.2364e+000 -7.8488e-002 -1.1029e+000 -2.0024e+000 +5.3259e+000 +7.4647e-002 -2.4119e+000 +0.0000e+000 +1.3392e+000 +2.1797e+000 +8.7951e-001 +3.3078e+000 +5.5192e-001 -4.7001e-001 -1.1788e+000 -2.1923e+000 +4.7870e-001
3792 +1.496320495e+002 +1.496320495e+002 +1.810020495e+002 +1.810020495e+002 +3.3891e+000 +5.2881e-001 -5.1168e+000 +3.2506e+000 -1.5005e-001 -1.1835e+000 -3.9127e+000 +5.8293e+000 -7.8864e-001 -2.2280e+000 +0.0000e+000 +2.6136e-001 -2.8345e-001 +1.2767e+000 +5.4203e+000 +2.3491e+000 +1.7017e+000 -9.7658e-001 -3.4428e+000 +0.0000e+000
% function evaluation | noise-free fitness - Fopt (-1.000000000000e+003) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +5.189291099e+006 +5.189291099e+006 +5.188291099e+006 +5.188291099e+006 +8.1750e+000 +5.2963e+000 +9.8016e+000 +9.0305e+000 +8.3416e+000 +1.2949e+001 +7.0711e+000 +6.4494e+000 +5.3954e+000 +1.0245e+001 +1.0722e+001 +1.1695e+001 +1.3855e+001 +6.2761e+000 +6.3445e+000 +1.2469e+001 +7.7336e+000 +9.1778e+000 +8.3507e+000 +1.3818e+001
53 +3.286849989e+005 +3.286849989e+005 +3.276849989e+005 +3.276849989e+005 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000
374 +2.354569780e+005 +2.354569780e+005 +2.344569780e+005 +2.344569780e+005 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +3.6533e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +6.5035e-001 +0.0000e+000 +6.0199e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +3.9950e-001 +6.5431e+000
562 +1.541627011e+005 +1.541627011e+005 +1.531627011e+005 +1.531627011e+005 +0.0000e+000 +9.4587e-001 +0.0000e+000 +0.0000e+000 -6.4057e-001 +5.3843e-001 +4.0029e-001 +2.3942e-001 +0.0000e+000 +2.3557e+000 +1.5775e+000 +0.0000e+000 +8.5189e-001 +0.0000e+000 -2.7595e+000 -3.2233e+000 +8.1310e-001 +0.0000e+000 +0.0000e+000 +2.3934e+000
884 +7.479989061e+004 +7.479989061e+004 +7.379989061e+004 +7.379989061e+004 -4.8727e-001 -5.4786e-001 -4.3600e-001 +0.0000e+000 +0.0000e+000 +1.2657e+000 +2.2120e+000 +0.0000e+000 +6.2821e-002 +1.9570e+000 -1.9718e-001 -1.0963e+000 +3.1946e-001 +0.0000e+000 -1.8421e+000 -2.2244e+000 +0.0000e+000 +0.0000e+000 -1.4700e+000 +4.5804e+000
1306 +6.035903578e+004 +6.035903578e+004 +5.935903578e+004 +5.935903578e+004 -3.0566e-001 +0.0000e+000 +2.6023e-001 +2.6329e-002 -1.9752e-001 +2.4353e-001 +2.9382e-001 +2.2066e-001 +1.2580e+000 +2.6824e+000 +1.1400e+000 -5.1978e-002 +6.4474e-003 -3.3666e-001 -3.3291e+000 -7.1050e+000 +1.2197e+000 +0.0000e+000 -2.0608e+000 +5.0589e+000
