% function evaluation | noise-free fitness - Fopt (3.590000000000e+001) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
5158 +2.510822499e+002 +2.510822499e+002 +2.869822499e+002 +2.869822499e+002 +4.0662e+000 +6.0133e+000 +1.1065e+001 +7.4592e+000 -8.5107e+000 -2.9726e+000 -2.8795e-001 -2.4854e+000 +1.6117e+000 -4.3283e+000 -4.1022e+000 -6.3763e-001 -6.0378e+000 +8.6229e-001 -2.8744e-001 -6.8201e+000 +7.1572e-002 +5.7603e+000 -3.8917e+000 -3.7995e+000
6351 +1.331174598e+002 +1.331174598e+002 +1.690174598e+002 +1.690174598e+002 +1.8811e+000 +4.5774e+000 +6.9994e+000 +7.6662e+000 -4.5637e+000 -3.8918e+000 -1.4956e+000 -1.8642e+000 +1.0058e-001 -3.6615e+000 -3.1608e+000 -9.4859e-001 -4.2753e+000 -5.1658e-001 +6.2811e-001 -5.9826e+000 +6.9641e-001 +5.3246e+000 -4.9443e+000 -3.7291e+000
9489 +9.984727470e+001 +9.984727470e+001 +1.357472747e+002 +1.357472747e+002 +2.6709e+000 +4.2408e+000 +5.3236e+000 +6.7709e+000 -4.3721e+000 -3.3498e+000 -1.7155e+000 -1.6987e+000 -1.3032e-001 -3.8521e+000 -2.7300e+000 +1.1076e-001 -3.5188e+000 -3.1299e-001 +7.7594e-001 -5.7684e+000 +8.8328e-001 +5.6443e+000 -3.4231e+000 -3.7518e+000
11451 +6.269333559e+001 +6.269333559e+001 +9.859333559e+001 +9.859333559e+001 +2.6643e+000 +3.6257e+000 +4.3014e+000 +4.0849e+000 -2.5100e+000 -4.1774e+000 -1.8220e+000 -2.0782e+000 +6.0269e-002 -4.3605e+000 -2.2045e+000 +4.7361e-001 -1.8636e+000 -3.8695e-001 +6.0537e-001 -4.7742e+000 +1.0480e+000 +5.7388e+000 -3.6841e+000 -3.8634e+000
13480 +3.933720699e+001 +3.933720699e+001 +7.523720699e+001 +7.523720699e+001 +1.9334e+000 +3.0932e+000 +3.7883e+000 +4.2812e+000 -1.4394e+000 -4.0187e+000 -2.7061e+000 -1.8174e+000 +1.1033e-001 -4.2991e+000 -1.9996e+000 +1.4211e-001 -1.2185e+000 -7.4636e-001 +7.7598e-001 -4.8012e+000 +1.0223e+000 +4.9463e+000 -2.4766e+000 -3.9827e+000
15826 +2.436282258e+001 +2.436282258e+001 +6.026282258e+001 +6.026282258e+001 +2.1395e+000 +2.4060e+000 +3.4976e+000 +4.0415e+000 -1.3273e+000 -3.9612e+000 -2.2780e+000 -1.9638e+000 -3.8560e-001 -3.7976e+000 -1.7773e+000 +2.0852e-001 -6.7636e-001 -7.4421e-001 +4.6454e-001 -4.4427e+000 +1.0957e+000 +4.8469e+000 -1.4989e+000 -3.9641e+000
19221 +1.431792827e+001 +1.431792827e+001 +5.021792827e+001 +5.021792827e+001 +2.2463e+000 +2.0403e+000 +3.5607e+000 +3.5743e+000 -1.4144e+000 -3.5471e+000 -1.8623e+000 -2.1687e+000 -1.3766e+000 -3.5644e+000 -2.0056e+000 +3.9548e-001 -1.1401e+000 -5.8140e-001 +6.5483e-001 -4.4771e+000 +1.0633e+000 +4.2990e+000 -1.7568e+000 -3.7861e+000
21093 +9.812651975e+000 +9.812651975e+000 +4.571265198e+001 +4.571265198e+001 +2.5312e+000 +1.7131e+000 +3.2417e+000 +3.8602e+000 -1.5119e+000 -3.5580e+000 -2.0416e+000 -2.4594e+000 -2.0210e+000 -3.3256e+000 -1.7482e+000 +8.3451e-001 -9.3871e-001 -5.4429e-001 +7.5477e-001 -4.3530e+000 +9.8271e-001 +3.6546e+000 -1.9414e+000 -3.4061e+000
23272 +6.292855549e+000 +6.292855549e+000 +4.219285555e+001 +4.219285555e+001 +2.4521e+000 +1.7701e+000 +3.1883e+000 +3.8921e+000 -1.5580e+000 -3.1849e+000 -2.5384e+000 -2.1397e+000 -2.2024e+000 -3.1182e+000 -1.7812e+000 +9.7055e-001 -6.1743e-001 -3.6124e-001 +8.4337e-001 -4.2425e+000 +9.3615e-001 +3.4625e+000 -1.7784e+000 -3.3524e+000
25149 +3.925141538e+000 +3.925141538e+000 +3.982514154e+001 +3.982514154e+001 +2.5180e+000 +1.6453e+000 +2.9750e+000 +3.8063e+000 -1.5807e+000 -3.2943e+000 -2.5124e+000 -2.1730e+000 -2.3565e+000 -2.9481e+000 -1.6369e+000 +1.2943e+000 -5.2808e-001 -4.6711e-001 +1.1981e+000 -4.2617e+000 +8.6027e-001 +3.3765e+000 -1.3852e+000 -3.4101e+000
