% function evaluation | noise-free fitness - Fopt (3.590000000000e+001) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.754543634e+005 +7.754543634e+005 +7.754902634e+005 +7.754902634e+005 -2.4113e-001 +1.1970e+000 +3.2531e+000 -1.9504e+000 -4.1955e+000 -4.0989e+000 +1.5158e+000 +2.2144e-001 -1.1430e+000 +6.0458e-001 +2.9662e+000 -3.7420e+000 -3.2910e+000 -3.7140e-001 +6.7371e-001 -4.2291e+000 -2.6454e+000 +1.4566e+000 -1.0964e+000 -4.9284e+000
29 +5.902380556e+005 +5.902380556e+005 +5.902739556e+005 +5.902739556e+005 -2.4383e+000 +4.9554e+000 -5.1172e-001 +1.8563e+000 -2.5361e+000 -3.8609e+000 +1.2563e+000 -2.8540e+000 -5.1898e-001 +4.3933e+000 -2.8744e+000 -2.2008e+000 +4.6783e+000 +1.8774e+000 +1.8638e+000 -4.3366e-002 +1.7043e+000 +2.4952e+000 -1.3002e+000 +4.6212e+000
475 +2.707959486e+005 +2.707959486e+005 +2.708318486e+005 +2.708318486e+005 -8.1907e-001 +1.1923e+000 +2.9227e+000 +5.2198e+000 -2.1313e+000 -1.1590e+000 -2.5408e+000 -5.5288e+000 -4.0715e+000 +4.5215e-001 -7.7773e-002 +2.6483e+000 -7.4023e-001 +9.6693e-001 +1.7630e+000 -1.9567e+000 +2.3310e+000 +1.7556e+000 -1.7644e+000 -9.7557e-001
624 +2.380848290e+005 +2.380848290e+005 +2.381207290e+005 +2.381207290e+005 -1.8766e+000 +6.6098e+000 +2.3077e+000 +3.4449e+000 -6.9192e+000 -4.0719e+000 -4.1560e-002 -6.0306e+000 +3.2974e+000 -1.5713e+000 +6.0526e-003 +1.8725e+000 +6.2189e-001 +1.3345e+000 +4.6047e-001 -4.2460e+000 +2.4134e+000 +2.5830e+000 -6.2493e+000 -4.1506e+000
1118 +1.149892237e+005 +1.149892237e+005 +1.150251237e+005 +1.150251237e+005 -1.0527e+000 +4.2959e+000 +2.7466e+000 -1.3729e+000 -3.7560e+000 -8.1530e+000 +1.1606e+000 -1.9466e+000 +4.5030e+000 -8.7558e+000 +2.4090e+000 -5.6242e-001 +2.6491e+000 -2.7605e+000 -2.9663e+000 -4.7874e+000 -4.3822e-001 +5.1423e+000 -3.4954e+000 -5.7432e+000
1144 +7.794390463e+004 +7.794390463e+004 +7.797980463e+004 +7.797980463e+004 +3.5746e+000 +4.8047e+000 +6.1753e+000 +2.9375e+000 -2.7440e+000 -4.6326e+000 -1.5403e+000 -1.4217e+000 -2.1648e+000 -7.3077e+000 -1.3595e+000 +9.4886e-001 +3.5485e+000 -4.2754e-001 +2.2819e+000 -9.1609e+000 +1.4929e+000 +6.3285e+000 -2.1350e+000 -1.8224e+000
1294 +3.871081677e+004 +3.871081677e+004 +3.874671677e+004 +3.874671677e+004 +2.7643e+000 +2.6057e+000 +6.1753e+000 +4.4888e+000 -7.4485e+000 -7.9045e+000 -1.1584e+000 -1.4217e+000 +1.9233e+000 -7.3615e+000 -1.3595e+000 +9.4886e-001 +3.5485e+000 +7.4501e-001 +4.5257e+000 -9.1609e+000 +1.4929e+000 +6.3285e+000 -4.4395e+000 -6.5580e+000
2118 +9.457526477e+002 +9.457526477e+002 +9.816526477e+002 +9.816526477e+002 -1.0527e+000 +6.8481e+000 +2.7466e+000 +1.8168e+000 -4.9076e+000 -8.1530e+000 +2.2115e+000 -1.0991e+001 +4.5030e+000 -7.5897e+000 +3.2294e+000 -5.2477e+000 -2.7233e+000 -5.6261e+000 -2.9663e+000 -4.3094e+000 +3.6323e+000 +8.3206e+000 -3.4954e+000 -5.7432e+000
2367 +4.357988332e+002 +4.357988332e+002 +4.716988332e+002 +4.716988332e+002 +4.3025e-001 +4.4632e+000 +4.1372e+000 +3.8400e+000 -4.0586e+000 -6.2538e+000 -6.7941e-001 -2.2755e+000 +6.4447e+000 -6.3935e+000 -5.8034e+000 -6.8342e+000 -1.5280e+000 +1.0507e+000 +9.6285e-001 -7.3769e+000 +4.0513e-001 +9.4557e+000 -7.2748e+000 -3.8542e+000
2510 +3.566716402e+002 +3.566716402e+002 +3.925716402e+002 +3.925716402e+002 -1.4396e-002 +2.8618e+000 +3.7091e+000 +2.2812e+000 -4.1537e+000 -1.0151e+001 +2.5823e-001 -4.2846e+000 +3.6415e+000 -7.0644e+000 -4.4855e+000 +2.9704e-001 +3.0890e+000 -4.9825e+000 +1.7945e-001 -5.6715e+000 +8.0766e-001 +9.0289e+000 -2.3689e+000 -7.0896e+000
