% function evaluation | noise-free fitness - Fopt (4.078000000000e+001) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1825 +1.512259339e+001 +1.512259339e+001 +1.352259339e+001 +1.352259339e+001 +5.1790e-001 +4.6933e-001 +7.6336e-001 +9.1557e-001 +5.0897e-001 +2.6597e+000 -3.8960e+000 -3.4485e-001 +2.7231e+000 -3.6509e+000 +1.0389e+000 +5.0409e+000 +4.4676e+000 -2.8741e-001 +2.4671e+000 -2.9593e+000 -1.8885e+000 +2.7075e+000 +3.6665e+000 +2.3402e+000
2055 +9.161183742e+000 +9.161183742e+000 +7.561183742e+000 +7.561183742e+000 +1.6300e+000 +7.5552e-001 +4.4650e-001 +1.5253e+000 +1.2311e+000 +4.0222e+000 -3.6969e+000 +1.7469e+000 +2.7630e+000 -3.7070e+000 +3.8436e-001 +4.4991e+000 +4.1312e+000 -5.3295e-001 +2.8480e+000 -2.2386e+000 -2.1440e+000 +2.8099e+000 +3.9724e+000 +4.8681e+000
2337 +6.208395279e+000 +6.208395279e+000 +4.608395279e+000 +4.608395279e+000 +2.0065e+000 +5.2640e-001 +1.9340e-001 +6.3393e-001 +1.2489e+000 +4.3256e+000 -3.7709e+000 +8.5318e-001 +2.4602e+000 -4.1610e+000 +3.7835e-001 +4.1647e+000 +5.0885e+000 -1.8470e-001 +2.3113e+000 -3.3011e+000 -1.6468e+000 +2.5707e+000 +3.3128e+000 +4.6406e+000
2668 +3.434624467e+000 +3.434624467e+000 +1.834624467e+000 +1.834624467e+000 +1.8127e+000 +1.0176e+000 +2.3863e-001 +6.5374e-001 +1.2152e+000 +3.4216e+000 -3.6727e+000 +1.1760e+000 +2.3945e+000 -4.4537e+000 +7.5988e-001 +4.3174e+000 +5.0777e+000 -2.3865e-001 +2.4293e+000 -3.2185e+000 -1.6992e+000 +3.0779e+000 +3.1070e+000 +4.1071e+000
3418 +2.453971761e+000 +2.453971761e+000 +8.539717605e-001 +8.539717605e-001 +1.9161e+000 +1.0831e+000 +5.7692e-001 +6.7200e-001 +6.0648e-001 +3.6043e+000 -3.7970e+000 +1.5228e+000 +2.5944e+000 -4.3925e+000 +9.5541e-001 +4.2802e+000 +4.8320e+000 -6.2999e-002 +2.1382e+000 -3.4280e+000 -1.7062e+000 +3.4137e+000 +3.1293e+000 +4.4352e+000
% function evaluation | noise-free fitness - Fopt (-3.708400000000e+002) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.593759916e+001 +8.593759916e+001 -2.849024008e+002 -2.849024008e+002 +4.9383e+000 -2.0817e+000 +4.9943e+000 +3.4452e+000 +3.0988e+000 -3.7467e+000 +1.4936e+000 +3.8333e+000 -3.7819e+000 +1.1815e+000 -3.2625e+000 -2.0686e+000 +1.6834e+000 +4.6072e+000 -1.1413e+000 +5.8445e-001 +3.1576e+000 +3.3791e+000 -3.3637e+000 +7.4994e-001
327 +5.871020599e+001 +5.871020599e+001 -3.121297940e+002 -3.121297940e+002 -2.0644e+000 -4.0633e-002 +3.7649e+000 +2.0264e+000 -1.2533e+000 -1.7417e+000 +9.3802e-001 +2.6650e-001 +9.0141e-001 -7.9690e-001 -2.2539e+000 -6.5128e-001 -2.0868e+000 +3.5895e+000 -4.5710e-001 +2.5681e+000 -1.6137e+000 -4.5596e+000 +1.7299e+000 -1.3528e+000
733 +3.976040302e+001 +3.976040302e+001 -3.310795970e+002 -3.310795970e+002 -1.4862e+000 -3.6339e-001 +5.1588e+000 +7.4506e-001 -1.5146e+000 -9.8504e-001 +5.5304e-001 +2.2306e-001 +2.1271e+000 -6.8791e-001 -1.0055e+000 -2.0203e-001 -3.9302e+000 +1.0986e+000 -5.0824e-001 +2.3619e+000 -4.0513e+000 -1.7286e+000 +5.6070e-001 -6.5881e-001
946 +2.408217574e+001 +2.408217574e+001 -3.467578243e+002 -3.467578243e+002 -2.5994e-001 +5.1995e-001 +4.6342e+000 +9.2933e-001 -2.2901e+000 -1.5730e-001 +8.8576e-001 +1.2454e-001 +2.3177e+000 -1.2000e+000 -2.4307e+000 -1.2243e-001 -5.0577e+000 +2.0630e+000 +8.7618e-001 +1.2557e+000 -4.6845e+000 -3.4348e+000 +7.7126e-002 -7.6728e-001
