% function evaluation | noise-free fitness - Fopt (2.997000000000e+001) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
21118 +6.042132508e+000 +6.042132508e+000 +3.601213251e+001 +3.601213251e+001 +9.5785e-001 -1.7089e+000 -3.6259e+000 -1.9663e+000 +3.1044e+000 +3.2260e+000 -4.0178e+000 -3.0429e+000 +6.6206e-001 -1.8439e+000 +1.1400e+000 -1.5768e+000 +3.9180e+000 +2.3257e+000 -1.4887e+000 +2.6997e+000 -2.7467e+000 -6.9120e-001 +1.5579e+000 -3.4226e+000
22945 +3.475458734e+000 +3.475458734e+000 +3.344545873e+001 +3.344545873e+001 +9.3938e-001 -1.7081e+000 -3.6184e+000 -1.9681e+000 +3.0938e+000 +3.2351e+000 -4.0210e+000 -3.0263e+000 +6.7639e-001 -1.8230e+000 +1.1291e+000 -1.5817e+000 +3.9327e+000 +2.3262e+000 -1.4868e+000 +2.6981e+000 -2.7355e+000 -7.2105e-001 +1.5463e+000 -3.4105e+000
25584 +2.412677430e+000 +2.412677430e+000 +3.238267743e+001 +3.238267743e+001 +9.5312e-001 -1.7134e+000 -3.6240e+000 -1.9699e+000 +3.0920e+000 +3.2240e+000 -4.0161e+000 -3.0314e+000 +6.8563e-001 -1.8235e+000 +1.1288e+000 -1.5777e+000 +3.9327e+000 +2.3267e+000 -1.4875e+000 +2.7065e+000 -2.7382e+000 -7.2186e-001 +1.5499e+000 -3.4128e+000
28962 +1.529509933e+000 +1.529509933e+000 +3.149950993e+001 +3.149950993e+001 +9.5269e-001 -1.7141e+000 -3.6231e+000 -1.9707e+000 +3.0927e+000 +3.2237e+000 -4.0170e+000 -3.0271e+000 +6.7698e-001 -1.8223e+000 +1.1305e+000 -1.5765e+000 +3.9261e+000 +2.3247e+000 -1.4850e+000 +2.7060e+000 -2.7398e+000 -7.1595e-001 +1.5548e+000 -3.4130e+000
34027 +9.864074555e-001 +9.864074555e-001 +3.095640746e+001 +3.095640746e+001 +9.5092e-001 -1.7124e+000 -3.6222e+000 -1.9706e+000 +3.0941e+000 +3.2228e+000 -4.0200e+000 -3.0340e+000 +6.7604e-001 -1.8255e+000 +1.1281e+000 -1.5769e+000 +3.9272e+000 +2.3236e+000 -1.4832e+000 +2.7047e+000 -2.7446e+000 -7.0768e-001 +1.5540e+000 -3.4167e+000
40096 +6.187798493e-001 +6.187798493e-001 +3.058877985e+001 +3.058877985e+001 +9.4881e-001 -1.7135e+000 -3.6239e+000 -1.9697e+000 +3.0946e+000 +3.2266e+000 -4.0177e+000 -3.0281e+000 +6.7977e-001 -1.8249e+000 +1.1309e+000 -1.5790e+000 +3.9271e+000 +2.3249e+000 -1.4847e+000 +2.7046e+000 -2.7422e+000 -7.1442e-001 +1.5541e+000 -3.4158e+000
61781 +3.925535912e-001 +3.925535912e-001 +3.036255359e+001 +3.036255359e+001 +9.4922e-001 -1.7135e+000 -3.6234e+000 -1.9701e+000 +3.0943e+000 +3.2269e+000 -4.0186e+000 -3.0292e+000 +6.7888e-001 -1.8247e+000 +1.1302e+000 -1.5787e+000 +3.9268e+000 +2.3243e+000 -1.4850e+000 +2.7049e+000 -2.7425e+000 -7.1438e-001 +1.5535e+000 -3.4159e+000
% function evaluation | noise-free fitness - Fopt (-5.171000000000e+001) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.161388330e+003 +3.161388330e+003 +3.109678330e+003 +3.109678330e+003 +2.6542e+000 +1.2584e+000 +2.4342e+000 -1.0725e+000 +4.8997e-001 +4.9254e+000 +2.2653e+000 +4.8248e+000 +2.7735e+000 -3.0001e+000 -1.3063e+000 -3.4144e-001 -3.3135e+000 +5.8171e-001 +4.4055e+000 +6.9401e-001 -3.2406e+000 -2.7669e+000 -5.4503e-001 +1.4122e+000
5 +2.484672356e+003 +2.484672356e+003 +2.432962356e+003 +2.432962356e+003 -2.6189e-001 +4.9473e+000 -1.3988e+000 -4.0806e+000 +2.6411e+000 +8.3771e-001 -4.2382e+000 -7.1091e-001 -6.9520e-001 +3.4465e+000 +4.3067e+000 -2.1203e+000 +1.9591e+000 -2.4477e+000 +4.5337e-001 -2.0154e+000 -3.5210e+000 -6.1560e-001 +1.5152e-001 -4.9092e+000
