% function evaluation | noise-free fitness - Fopt (-1.025500000000e+002) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.941310486e+001 +4.941310486e+001 -5.313689514e+001 -5.313689514e+001 +4.4177e+000 +3.1681e+000 +4.6250e+000 -4.4744e+000 +2.4872e+000 -1.7158e+000 +6.0183e-001 +1.3744e-001 +8.2830e-001 -3.5977e+000 -2.4922e+000 -8.9654e-001 +3.0543e-001 -3.8963e+000 -1.9228e+000 +4.6984e+000 +9.5473e-001 +1.3401e+000 +1.5840e+000 +1.2147e+000
15 +2.911812408e+001 +2.911812408e+001 -7.343187592e+001 -7.343187592e+001 +1.0015e+000 +2.6337e-001 -4.0508e+000 +1.2598e+000 -1.7780e-001 -4.3739e+000 +4.0286e-001 -1.3467e+000 +3.6406e+000 -3.5725e+000 -1.9719e+000 +4.9448e+000 +2.9141e+000 -1.6314e+000 -4.8269e+000 -7.7936e-001 -6.2752e-001 -1.1277e+000 +1.0811e+000 -7.7930e-001
51 +2.355180871e+001 +2.355180871e+001 -7.899819129e+001 -7.899819129e+001 -1.9064e+000 +3.0314e+000 -1.5501e+000 -3.8833e-001 -1.7684e+000 +2.7996e-001 -4.4531e-001 -3.2403e+000 +9.3010e-001 -1.9915e-001 -5.4707e-001 +4.9355e+000 +9.2977e-001 +1.3814e+000 +2.9409e+000 +4.0087e+000 +3.1281e+000 -1.0501e+000 -1.2722e+000 -5.5812e-002
199 +1.287791448e+001 +1.287791448e+001 -8.967208552e+001 -8.967208552e+001 -1.8482e-001 -4.9908e-001 +4.4501e-001 -2.0389e-001 +9.8835e-001 +8.5716e-001 -9.0187e-002 -1.8703e+000 -4.4077e+000 +9.9763e-001 -2.9749e+000 -1.2326e+000 -1.8096e+000 -1.8154e+000 +5.5434e-001 -6.7493e-001 -4.3196e-001 -4.2560e-001 -3.9003e-001 -3.7546e+000
386 +9.517000609e+000 +9.517000609e+000 -9.303299939e+001 -9.303299939e+001 +4.5793e-001 -1.9751e+000 -3.4417e-002 -1.1928e+000 +1.9355e-001 -8.1536e-001 +7.7086e-001 -8.9559e-001 -2.4851e+000 -6.8484e-001 -1.2530e+000 +7.9528e-002 -1.0502e+000 -1.9941e+000 +1.3334e+000 -1.0709e+000 +1.6719e+000 -9.8406e-001 +2.2481e-001 -2.7172e+000
1882 +5.922524330e+000 +5.922524330e+000 -9.662747567e+001 -9.662747567e+001 +1.6078e+000 -7.0495e-001 +9.3769e-001 +2.0270e-001 +5.0132e-001 -8.1612e-001 +6.6982e-002 -7.5533e-001 -3.7752e-001 +3.4315e-002 -1.0680e+000 -6.5615e-002 +1.1330e-001 -5.4953e-001 +1.4614e+000 -9.3611e-002 +3.1082e+000 +8.2914e-001 -8.0799e-004 -8.9609e-001
% function evaluation | noise-free fitness - Fopt (7.169000000000e+001) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +5.694785852e+001 +5.694785852e+001 +1.286378585e+002 +1.286378585e+002 -2.7072e+000 -4.6610e+000 +2.9068e+000 -2.0105e-002 -3.7405e+000 -1.2610e+000 -1.1630e+000 +3.9892e+000 -4.4806e+000 +4.0390e-001 +3.6384e+000 -3.0139e-001 -1.1847e+000 +3.2509e-001 -4.0595e-001 +2.7504e+000 +4.6519e+000 +1.8190e+000 -2.3103e+000 +3.4978e+000
8 +2.504224667e+001 +2.504224667e+001 +9.673224667e+001 +9.673224667e+001 -1.8926e+000 -3.1654e+000 +3.2374e+000 -2.3104e+000 +1.0244e+000 +1.0494e-001 -6.8275e-002 -1.7279e+000 -6.4239e-001 -3.3844e+000 -6.9081e-001 +4.5632e-001 -5.8596e-001 +3.9253e+000 +2.1975e+000 -3.2197e+000 -1.8631e-003 +5.8630e-001 -2.1373e+000 +1.8262e+000
279 +1.335521411e+001 +1.335521411e+001 +8.504521411e+001 +8.504521411e+001 -1.3882e-001 -1.1325e+000 +1.2263e-001 +6.1937e-001 +1.7544e+000 +1.7845e+000 +1.7801e-001 +1.6549e+000 +2.1855e+000 -3.3414e-001 -5.0327e-001 -1.2056e+000 -1.1047e+000 -9.5958e-001 -2.8731e+000 +1.0438e+000 +1.7715e-001 -2.2220e+000 -2.8224e-001 +3.9472e-001
