% function evaluation | noise-free fitness - Fopt (7.135000000000e+001) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.400431380e+001 +8.400431380e+001 +1.831743138e+002 +1.831743138e+002 +2.1583e+000 -4.8284e+000 -4.7855e+000 +5.3609e-001 -2.3755e+000 +2.5556e+000 +1.1546e-001 +4.0387e-001 +3.8491e+000 -4.5432e-001 -6.4624e-001 -3.0288e-001 +1.0796e+000 -2.2344e+000 +2.8989e+000 -3.4539e+000 -2.8965e+000 +2.0935e+000 +2.9363e+000 -1.2640e+000
3 +6.079113986e+001 +6.079113986e+001 +1.599611399e+002 +1.599611399e+002 -4.9306e+000 +2.7500e+000 -4.0894e+000 +1.9771e+000 -1.3327e+000 +4.7610e+000 -3.3311e+000 +3.0930e+000 +4.5003e+000 +2.2789e-001 -3.5199e-001 -1.3138e+000 -1.3420e+000 +2.3657e+000 +2.8191e+000 +2.5182e+000 -1.6958e+000 +2.9804e+000 -3.2418e+000 +2.2770e+000
539 +3.431672735e+001 +3.431672735e+001 +1.334867274e+002 +1.334867274e+002 +3.3416e+000 +3.7775e+000 +9.3277e+000 +1.4721e+000 +1.8952e-001 +2.2674e+000 +8.2874e-001 -3.0089e+000 -3.9357e+000 +5.9609e-001 -2.0777e+000 -4.3405e+000 +4.6481e+000 +1.0349e+000 -2.7479e+000 +2.8575e+000 +2.3665e+000 -5.5888e+000 +5.0376e+000 -2.2206e+000
28236 +2.448011984e+001 +2.448011984e+001 +1.236501198e+002 +1.236501198e+002 -3.7507e+000 -1.5096e+000 -1.5323e-001 -2.8488e+000 +3.9099e-001 -2.3948e-001 -2.1142e+000 +8.1487e-001 -2.1565e+000 +1.3706e+000 +9.8461e-001 -2.0640e+000 -1.5585e-001 +1.7547e+000 +2.6129e-001 -3.7445e+000 +1.4098e+000 +2.3817e+000 +1.5832e+000 -3.8192e+000
44247 +1.584453436e+001 +1.584453436e+001 +1.150145344e+002 +1.150145344e+002 -8.2164e-001 -1.2039e+000 -1.0132e+000 +4.8166e+000 -1.0447e+000 -6.1725e-001 +2.2268e+000 -1.1599e+000 +5.2689e+000 -9.8987e-001 +6.3278e-001 -6.4192e+000 -2.8624e-001 +2.0277e+000 +1.1798e+000 +1.8235e+000 +5.2773e-001 +1.1178e+000 +2.3798e+000 -2.7808e+000
196152 +9.424572468e+000 +9.424572468e+000 +1.085945725e+002 +1.085945725e+002 -5.7838e+000 -4.2807e+000 -8.8726e-001 +1.8864e+000 -2.9535e+000 +1.5278e-001 -4.0425e+000 +3.0699e+000 +1.5443e+000 -8.7696e-001 -4.8248e+000 +6.1803e+000 -4.9322e+000 -1.6328e+000 +2.3718e+000 +2.4795e+000 -3.8774e+000 +3.4963e-001 -1.1200e+000 +2.9707e+000
% function evaluation | noise-free fitness - Fopt (-5.179100000000e+002) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.457152933e+001 +7.457152933e+001 -4.433384707e+002 -4.433384707e+002 +2.6662e-001 +4.0289e+000 -4.5958e-001 +2.6232e+000 -2.4859e+000 -2.9279e+000 +1.5177e+000 +2.3847e+000 -1.2012e+000 -9.5049e-001 -3.6166e+000 -3.1539e-001 -3.7905e+000 -1.2000e+000 +5.1241e-002 -1.2583e+000 +3.7665e+000 -4.4643e+000 +2.2473e+000 +2.3692e+000
5 +6.188296541e+001 +6.188296541e+001 -4.560270346e+002 -4.560270346e+002 -4.7294e+000 -1.9027e+000 -4.6949e+000 +1.8699e+000 -1.2502e+000 +3.6971e+000 +3.4779e+000 -9.6398e-001 -2.8004e+000 -2.2858e+000 -1.2651e+000 +8.9146e-001 -3.6113e+000 +3.7505e+000 -4.2262e+000 -4.3064e+000 +1.3406e+000 -2.1170e+000 +5.0455e-001 -1.2564e+000
175 +3.426600871e+001 +3.426600871e+001 -4.836439913e+002 -4.836439913e+002 -2.8139e+000 -1.1344e+000 -1.0187e-001 +4.4189e+000 -5.0202e+000 -3.4202e+000 +6.5239e-001 +5.7138e+000 +4.6070e-001 -1.7103e+000 -1.9111e+000 +2.3346e+000 -2.1996e+000 -2.0170e+000 +8.6801e-001 -2.5060e-002 -2.3757e+000 -1.2448e+000 +1.3657e+000 -5.7323e+000
