% function evaluation | noise-free fitness - Fopt (9.294000000000e+001) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
% function evaluation | noise-free fitness - Fopt (3.535000000000e+001) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.216659391e+003 +3.216659391e+003 +3.252009391e+003 +3.252009391e+003 -4.1064e+000 -3.7104e+000 +1.1427e+000 +4.3614e+000 +1.5818e+000 -9.4445e-001 +1.7446e+000 -2.3530e+000 +3.3033e+000 +4.8853e+000 -4.2720e+000 -8.8873e-001 -2.2994e+000 +2.8314e+000 +3.4064e-001 -1.6456e+000 +3.9355e+000 -4.6828e+000 -6.3504e-002 -1.1991e+000
3 +1.017853659e+003 +1.017853659e+003 +1.053203659e+003 +1.053203659e+003 -1.9223e+000 +4.6235e+000 +4.6240e+000 -2.8260e+000 -3.0022e+000 +2.8641e+000 +3.4154e+000 +1.3412e+000 +2.3076e+000 -1.1392e+000 +8.2866e-001 -1.8670e+000 +2.2297e+000 +3.6904e+000 -3.4502e+000 -2.6302e+000 -1.9024e+000 +1.0158e+000 +1.1973e-001 +1.7189e+000
55 +8.532711666e+002 +8.532711666e+002 +8.886211666e+002 +8.886211666e+002 -2.6310e+000 +3.9808e+000 +6.3836e+000 -7.9072e-002 +9.8784e-002 -1.4003e-001 +6.5231e+000 +1.9473e+000 +5.1372e+000 -3.9702e+000 +3.1748e+000 -1.6643e-001 +4.2817e+000 +3.9693e+000 -9.1955e-001 -7.8016e-002 -2.5725e+000 -1.9815e+000 +2.9212e-001 +3.9307e+000
81 +4.797880847e+002 +4.797880847e+002 +5.151380847e+002 +5.151380847e+002 -3.9215e+000 -3.9888e+000 +3.5967e+000 +6.2671e-001 -6.6013e-001 +1.1645e+000 +3.0406e+000 +3.7828e-001 -2.5727e+000 -1.3174e+000 +2.7968e+000 -4.2645e+000 +1.9299e+000 +2.0530e+000 -2.3777e+000 -1.6520e+000 +5.2746e+000 +3.1991e+000 +7.4854e-001 +2.0313e+000
108 +2.633427416e+002 +2.633427416e+002 +2.986927416e+002 +2.986927416e+002 -6.2079e-001 -1.7858e+000 +2.7004e+000 -1.6734e+000 -1.1464e+000 -2.2505e+000 +4.1997e+000 -1.8210e+000 +8.0907e-001 -1.8652e+000 +7.9360e-001 -2.6770e+000 +3.4416e+000 +3.7850e+000 -5.3226e-001 +1.5339e+000 +3.8080e+000 +5.1968e+000 +1.1931e+000 +2.8985e+000
256 +1.944341134e+002 +1.944341134e+002 +2.297841134e+002 +2.297841134e+002 +5.4465e-001 -1.7411e+000 +2.1888e+000 -9.0939e-001 -2.5579e+000 -4.4712e+000 +5.5848e+000 -1.5276e+000 +7.6759e-002 -4.2526e+000 +1.0020e+000 -4.9108e+000 +3.4761e+000 +4.4709e+000 -7.9746e-001 +3.8248e-001 +2.9327e+000 +6.1475e+000 -4.5398e-001 +4.6977e+000
1125 +1.091185466e+002 +1.091185466e+002 +1.444685466e+002 +1.444685466e+002 +1.9744e+000 -1.3833e+000 +9.8636e-001 +1.3249e-001 -2.9162e+000 -4.2712e+000 +5.1909e+000 -2.8822e-001 +1.7209e+000 -4.0813e+000 +1.7485e+000 -7.0302e+000 +2.5810e+000 +5.2116e+000 -2.1832e+000 -5.2977e-001 +2.7479e+000 +3.5508e+000 -2.1372e+000 +4.3699e+000
1188 +7.484363885e+001 +7.484363885e+001 +1.101936388e+002 +1.101936388e+002 +2.2222e+000 -8.3934e-001 +1.2514e+000 -2.3630e-001 -3.0808e+000 -2.6246e+000 +6.7026e+000 -3.8134e-001 +1.1410e+000 -2.9061e+000 +2.7299e+000 -4.9997e+000 +3.7359e+000 +5.0400e+000 -2.3958e+000 +5.7949e-001 +2.8259e+000 +3.2077e+000 -1.3321e+000 +4.6390e+000
1800 +5.684059601e+001 +5.684059601e+001 +9.219059601e+001 +9.219059601e+001 +2.4835e+000 -9.7255e-001 +1.1891e+000 -2.0760e-001 -4.6414e+000 -2.7913e+000 +6.4052e+000 -2.2353e-001 +2.1942e+000 -2.4838e+000 +3.4356e+000 -5.0204e+000 +3.8209e+000 +4.9205e+000 -1.6351e+000 +9.5235e-001 +3.1757e+000 +2.1418e+000 -1.1935e+000 +4.6851e+000
