% function evaluation | noise-free fitness - Fopt (4.078000000000e+001) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
3774 +6.298120683e+001 +6.298120683e+001 +6.138120683e+001 +6.138120683e+001 +1.5281e+000 +2.5906e+000 +1.1320e+000 -1.9001e+000 +4.4054e-001 -3.8881e+000 +3.0986e+000 +1.5227e+000 -4.0340e+000 -5.9481e+000 +1.7235e+000 -3.1491e+000 -8.4192e-001 +3.7471e+000 +2.9964e+000 -2.1387e+000 +1.7351e+000 +5.0303e+000 -5.8691e-001 -4.3962e+000
% function evaluation | noise-free fitness - Fopt (-3.708400000000e+002) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.738679203e+002 +7.738679203e+002 +4.030279203e+002 +4.030279203e+002 +1.2339e+001 +8.7079e+000 +8.4549e+000 +7.5970e+000 +1.2012e+001 +1.4741e+001 +1.3600e+001 +8.2442e+000 +1.1708e+001 +1.3685e+001 +1.4847e+001 +6.7281e+000 +7.2205e+000 +7.5508e+000 +6.0159e+000 +1.2319e+001 +5.5339e+000 +7.0834e+000 +9.2673e+000 +1.2951e+001
6 +5.490859207e+002 +5.490859207e+002 +1.782459207e+002 +1.782459207e+002 +1.1071e+001 +7.5777e+000 +6.5574e+000 +8.6925e+000 +8.1293e+000 +6.6995e+000 +6.4475e+000 +9.1763e+000 +1.4217e+001 +1.2420e+001 +9.0760e+000 +8.9951e+000 +8.7684e+000 +5.6656e+000 +1.3526e+001 +1.3871e+001 +8.3941e+000 +5.6875e+000 +8.9146e+000 +7.1955e+000
220 +3.870266473e+002 +3.870266473e+002 +1.618664733e+001 +1.618664733e+001 +1.1204e+001 +9.6363e+000 +9.0275e+000 +8.2374e+000 +7.7269e+000 +1.1474e+001 +5.1778e+000 +9.0797e+000 +8.4648e+000 +5.0322e+000 +1.0059e+001 +8.5036e+000 +1.2021e+001 +1.0267e+001 +9.3479e+000 +5.6185e+000 +5.3088e+000 +5.7289e+000 +5.9402e+000 +5.1978e+000
386 +2.359247987e+002 +2.359247987e+002 -1.349152013e+002 -1.349152013e+002 +6.9712e+000 +1.0396e+001 +9.7897e+000 +9.0165e+000 -4.2459e-001 +5.1712e+000 +4.5037e+000 +5.4143e+000 +8.0012e+000 +6.0831e+000 +8.9312e+000 +1.9265e+000 +6.7891e+000 +6.4986e+000 +7.7563e+000 +5.5710e+000 +3.1497e+000 +8.7524e+000 +5.4432e+000 +9.8789e+000
536 +1.564298429e+002 +1.564298429e+002 -2.144101571e+002 -2.144101571e+002 +6.9712e+000 +6.9646e+000 +7.7340e+000 +2.2435e+000 +6.5468e+000 +4.6465e+000 +4.3547e+000 +5.4143e+000 +8.0012e+000 +6.0831e+000 +8.9312e+000 +1.9265e+000 +8.1750e+000 -7.7038e-002 +8.9815e+000 +5.5710e+000 +3.1497e+000 +1.3886e+000 +5.4432e+000 +7.6935e-001
1252 +9.737135510e+001 +9.737135510e+001 -2.734686449e+002 -2.734686449e+002 +6.6928e+000 +3.4030e+000 -1.4996e+000 +6.4212e+000 +5.5815e+000 +9.9247e-001 +5.0321e+000 +1.0283e-001 +6.0301e+000 +1.0336e+000 +7.1117e+000 +1.7753e+000 -2.3135e+000 -3.0847e+000 -5.3230e+000 +3.6561e+000 +4.1607e+000 +4.0513e+000 +3.6403e+000 +2.0199e+000
3423 +6.051684748e+001 +6.051684748e+001 -3.103231525e+002 -3.103231525e+002 +3.3308e+000 +4.4142e+000 +9.7399e-001 +2.8132e+000 -1.1593e+000 +1.2186e+000 +1.2689e+000 +1.6296e+000 +2.6770e+000 +2.2566e+000 +1.7667e+000 +3.5364e+000 +3.4103e+000 -7.0199e-001 -2.3020e+000 +6.1836e-001 +4.0380e+000 +3.1006e+000 -5.5733e-001 +1.3250e+000
4525 +3.607565851e+001 +3.607565851e+001 -3.347643415e+002 -3.347643415e+002 +3.2399e-001 +1.3631e+000 +8.7385e-001 +2.3377e+000 -1.5491e+000 +4.0828e+000 +4.0531e+000 -3.2547e+000 +3.5179e+000 +2.1570e+000 +5.7004e+000 +9.5701e-001 +4.9218e+000 -2.3148e+000 -4.2925e+000 +2.4863e+000 -1.6343e+000 -4.1466e-001 +1.1530e+000 -3.8636e-001
% function evaluation | noise-free fitness - Fopt (-3.256000000000e+001) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +5.911188700e+002 +5.911188700e+002 +5.585588700e+002 +5.585588700e+002 +5.0727e+000 +1.0322e+001 +8.9551e+000 +5.6246e+000 +1.0491e+001 +7.4013e+000 +6.0509e+000 +8.0366e+000 +8.5037e+000 +6.0030e+000 +1.4778e+001 +9.9420e+000 +5.0894e+000 +1.1959e+001 +7.0290e+000 +1.3589e+001 +8.9571e+000 +1.2635e+001 +5.0924e+000 +1.3964e+001
265 +3.855472395e+002 +3.855472395e+002 +3.529872395e+002 +3.529872395e+002 +1.2055e+001 +6.9882e+000 +5.7473e+000 +2.9232e+000 -7.3430e-001 +7.4164e+000 +2.0527e+000 +5.0636e+000 +9.1830e+000 +1.1631e+001 -3.0329e+000 +9.1011e+000 +7.5824e+000 +8.7891e+000 +1.1632e+001 +9.0465e+000 +6.1299e+000 +1.1826e+001 +1.0496e+001 +6.0553e+000
580 +2.235218401e+002 +2.235218401e+002 +1.909618401e+002 +1.909618401e+002 +5.9070e+000 +2.2537e+000 +8.5054e+000 +1.0874e+001 +1.8975e+000 +4.1772e+000 +4.1664e+000 +7.7485e+000 +9.7969e+000 +5.3839e+000 -1.4621e+000 +4.3267e+000 +3.9535e+000 +5.8358e+000 +5.7514e+000 +3.4859e+000 +1.1902e+001 +8.0417e+000 +4.4425e+000 +5.6942e+000
830 +1.420575404e+002 +1.420575404e+002 +1.094975404e+002 +1.094975404e+002 +5.9070e+000 +2.5582e+000 +3.1892e+000 +7.5943e+000 +1.5076e+000 +2.6903e+000 +9.9992e+000 +1.6433e+000 +6.5456e+000 +5.3839e+000 -1.4621e+000 +4.3267e+000 +7.4760e+000 +5.8358e+000 +7.3462e+000 -4.4295e+000 +2.7455e+000 +7.7560e+000 +4.4425e+000 +5.6942e+000
1261 +9.683303878e+001 +9.683303878e+001 +6.427303878e+001 +6.427303878e+001 -8.1312e-001 +2.3244e+000 +2.9885e+000 +4.4695e+000 +4.5787e+000 +6.5761e+000 +6.1317e+000 +1.8694e+000 +6.3391e+000 +5.2478e+000 +2.4764e+000 -5.8322e+000 +6.4768e+000 +5.9928e+000 +5.4573e+000 +4.7497e+000 -2.4855e+000 +5.8633e+000 +3.1580e+000 +5.2732e-001
% function evaluation | noise-free fitness - Fopt (5.154000000000e+002) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
