% function evaluation | noise-free fitness - Fopt (2.997000000000e+001) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
7632 +6.264646239e+000 +6.264646239e+000 +3.623464624e+001 +3.623464624e+001 +8.2725e-001 -1.7135e+000 -3.6771e+000 -1.9182e+000 +3.1041e+000 +3.3997e+000 -3.9032e+000 -2.8360e+000 +8.8826e-001 -1.7581e+000 +1.3327e+000 -1.7231e+000 +4.0514e+000 +2.3892e+000 -1.5371e+000 +2.6714e+000 -2.5584e+000 -1.0462e+000 +1.4913e+000 -3.2991e+000
8398 +3.980898631e+000 +3.980898631e+000 +3.395089863e+001 +3.395089863e+001 +8.2460e-001 -1.7043e+000 -3.6842e+000 -1.9155e+000 +3.1141e+000 +3.3927e+000 -3.8945e+000 -2.8369e+000 +8.9940e-001 -1.7636e+000 +1.3336e+000 -1.7272e+000 +4.0426e+000 +2.3824e+000 -1.5341e+000 +2.6757e+000 -2.5649e+000 -1.0353e+000 +1.4987e+000 -3.2934e+000
8858 +2.487963704e+000 +2.487963704e+000 +3.245796370e+001 +3.245796370e+001 +8.2852e-001 -1.6954e+000 -3.6869e+000 -1.9190e+000 +3.1203e+000 +3.3966e+000 -3.9049e+000 -2.8420e+000 +8.8353e-001 -1.7772e+000 +1.3172e+000 -1.7245e+000 +4.0318e+000 +2.3839e+000 -1.5265e+000 +2.6694e+000 -2.5629e+000 -1.0194e+000 +1.4995e+000 -3.2962e+000
10050 +1.533397060e+000 +1.533397060e+000 +3.150339706e+001 +3.150339706e+001 +8.2450e-001 -1.6970e+000 -3.6877e+000 -1.9224e+000 +3.1195e+000 +3.3955e+000 -3.9050e+000 -2.8378e+000 +8.8547e-001 -1.7715e+000 +1.3190e+000 -1.7270e+000 +4.0333e+000 +2.3840e+000 -1.5255e+000 +2.6706e+000 -2.5636e+000 -1.0183e+000 +1.5000e+000 -3.2975e+000
10619 +9.941387725e-001 +9.941387725e-001 +3.096413877e+001 +3.096413877e+001 +8.2660e-001 -1.6965e+000 -3.6866e+000 -1.9238e+000 +3.1213e+000 +3.3971e+000 -3.9045e+000 -2.8329e+000 +8.8442e-001 -1.7714e+000 +1.3177e+000 -1.7277e+000 +4.0295e+000 +2.3826e+000 -1.5242e+000 +2.6686e+000 -2.5650e+000 -1.0166e+000 +1.5035e+000 -3.2979e+000
11120 +6.106629390e-001 +6.106629390e-001 +3.058066294e+001 +3.058066294e+001 +8.2564e-001 -1.6974e+000 -3.6855e+000 -1.9233e+000 +3.1213e+000 +3.3968e+000 -3.9037e+000 -2.8343e+000 +8.8480e-001 -1.7711e+000 +1.3172e+000 -1.7287e+000 +4.0290e+000 +2.3815e+000 -1.5268e+000 +2.6688e+000 -2.5656e+000 -1.0178e+000 +1.5037e+000 -3.2977e+000
11960 +3.852017253e-001 +3.852017253e-001 +3.035520173e+001 +3.035520173e+001 +8.2505e-001 -1.6978e+000 -3.6854e+000 -1.9225e+000 +3.1216e+000 +3.3967e+000 -3.9035e+000 -2.8334e+000 +8.8443e-001 -1.7702e+000 +1.3182e+000 -1.7296e+000 +4.0293e+000 +2.3824e+000 -1.5260e+000 +2.6687e+000 -2.5651e+000 -1.0175e+000 +1.5039e+000 -3.2974e+000
13164 +2.498395128e-001 +2.498395128e-001 +3.021983951e+001 +3.021983951e+001 +8.2463e-001 -1.6977e+000 -3.6857e+000 -1.9224e+000 +3.1223e+000 +3.3965e+000 -3.9037e+000 -2.8328e+000 +8.8454e-001 -1.7701e+000 +1.3183e+000 -1.7299e+000 +4.0287e+000 +2.3826e+000 -1.5261e+000 +2.6690e+000 -2.5654e+000 -1.0180e+000 +1.5041e+000 -3.2975e+000
16187 +1.577170580e-001 +1.577170580e-001 +3.012771706e+001 +3.012771706e+001 +8.2469e-001 -1.6977e+000 -3.6856e+000 -1.9227e+000 +3.1224e+000 +3.3966e+000 -3.9037e+000 -2.8329e+000 +8.8455e-001 -1.7704e+000 +1.3183e+000 -1.7299e+000 +4.0287e+000 +2.3824e+000 -1.5260e+000 +2.6688e+000 -2.5653e+000 -1.0180e+000 +1.5044e+000 -3.2975e+000
% function evaluation | noise-free fitness - Fopt (-5.171000000000e+001) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
