% function evaluation | noise-free fitness - Fopt (7.948000000000e+001) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
3742 +3.929939195e-001 +3.929939195e-001 +7.987299392e+001 +7.987299392e+001 +2.8842e-001 -1.2072e+000 -6.1205e-001 +2.0811e+000 -2.6975e+000 +6.5075e-001 -1.4333e-001 +3.7523e-002 -1.5077e+000 -2.9995e+000 -3.7168e+000 +2.0295e+000 +8.6213e-001 +1.1002e-002 +3.8360e+000 +2.9899e+000 -1.6138e-001 -3.8103e+000 +2.6788e+000 +1.5691e+000
4426 +2.372969858e-001 +2.372969858e-001 +7.971729699e+001 +7.971729699e+001 +3.1773e-001 -1.0419e+000 -7.1669e-001 +1.8709e+000 -2.9207e+000 +6.8098e-001 -9.6217e-002 +2.9720e-001 -1.5734e+000 -2.8797e+000 -3.8658e+000 +1.9779e+000 +1.1147e+000 -1.2597e-001 +3.7193e+000 +2.8878e+000 -6.7338e-002 -3.7903e+000 +2.4057e+000 +1.3989e+000
4591 +1.506119245e-001 +1.506119245e-001 +7.963061192e+001 +7.963061192e+001 +3.9631e-001 -1.1081e+000 -6.6222e-001 +1.9706e+000 -2.8120e+000 +4.1822e-001 -1.3405e-001 +1.1131e-001 -1.5319e+000 -2.8653e+000 -3.7579e+000 +2.0035e+000 +9.7810e-001 -1.9432e-001 +3.7597e+000 +2.8677e+000 -1.6317e-001 -3.9022e+000 +2.4548e+000 +1.3384e+000
4944 +9.909934622e-002 +9.909934622e-002 +7.957909935e+001 +7.957909935e+001 +2.8991e-001 -1.1483e+000 -7.2030e-001 +1.9536e+000 -2.7432e+000 +4.8880e-001 -1.3241e-002 -5.8613e-002 -1.6001e+000 -3.1173e+000 -3.8162e+000 +2.0098e+000 +1.0210e+000 -1.6200e-001 +3.6295e+000 +2.9329e+000 -1.5507e-001 -3.8069e+000 +2.3663e+000 +1.4776e+000
4975 +5.186401863e-002 +5.186401863e-002 +7.953186402e+001 +7.953186402e+001 +2.9524e-001 -1.1411e+000 -7.9630e-001 +1.9169e+000 -2.7261e+000 +3.9926e-001 -1.2504e-001 +2.2013e-002 -1.5430e+000 -3.0779e+000 -3.8111e+000 +1.9578e+000 +1.0423e+000 -7.4548e-002 +3.6796e+000 +2.9085e+000 -7.6750e-002 -3.8289e+000 +2.3552e+000 +1.3901e+000
5404 +2.523961821e-002 +2.523961821e-002 +7.950523962e+001 +7.950523962e+001 +2.6956e-001 -1.1185e+000 -7.3443e-001 +1.9135e+000 -2.6657e+000 +4.5324e-001 -1.0433e-001 +1.1519e-001 -1.5476e+000 -3.0659e+000 -3.8751e+000 +2.0081e+000 +1.0395e+000 -7.2336e-002 +3.6852e+000 +2.9329e+000 -7.7486e-002 -3.8473e+000 +2.3593e+000 +1.3827e+000
5681 +2.506160292e-002 +2.506160292e-002 +7.950506160e+001 +7.950506160e+001 +2.6536e-001 -1.0966e+000 -7.4696e-001 +1.8977e+000 -2.7140e+000 +3.9805e-001 -1.1207e-001 +1.2613e-001 -1.6271e+000 -3.0328e+000 -3.8581e+000 +2.0486e+000 +1.0930e+000 -4.8042e-002 +3.7043e+000 +2.9587e+000 -4.4196e-002 -3.8935e+000 +2.3645e+000 +1.3342e+000
5891 +1.541108329e-002 +1.541108329e-002 +7.949541108e+001 +7.949541108e+001 +2.5114e-001 -1.1219e+000 -7.3531e-001 +1.9095e+000 -2.6476e+000 +4.0973e-001 -1.1078e-001 +1.4570e-001 -1.5936e+000 -3.0690e+000 -3.8763e+000 +2.0316e+000 +1.0441e+000 -6.5902e-002 +3.6841e+000 +2.8894e+000 -9.3669e-002 -3.8768e+000 +2.3412e+000 +1.3479e+000
6393 +9.981035868e-003 +9.981035868e-003 +7.948998104e+001 +7.948998104e+001 +2.4237e-001 -1.1477e+000 -7.2753e-001 +1.8861e+000 -2.6502e+000 +3.8137e-001 -1.1805e-001 +1.4401e-001 -1.6267e+000 -3.0460e+000 -3.8581e+000 +2.0322e+000 +1.0579e+000 -6.7006e-002 +3.6763e+000 +2.9024e+000 -1.4614e-001 -3.9426e+000 +2.3518e+000 +1.3585e+000
6455 +6.083225817e-003 +6.083225817e-003 +7.948608323e+001 +7.948608323e+001 +2.6571e-001 -1.1365e+000 -7.1202e-001 +1.9438e+000 -2.6732e+000 +4.4950e-001 -9.9277e-002 +1.2017e-001 -1.5992e+000 -3.0365e+000 -3.8714e+000 +2.0173e+000 +1.0695e+000 -7.5503e-002 +3.6769e+000 +2.8907e+000 -1.3850e-001 -3.9236e+000 +2.3784e+000 +1.3807e+000
6504 +3.896149110e-003 +3.896149110e-003 +7.948389615e+001 +7.948389615e+001 +2.5820e-001 -1.1450e+000 -7.1548e-001 +1.9247e+000 -2.6650e+000 +4.4352e-001 -1.1712e-001 +1.2269e-001 -1.6232e+000 -3.0556e+000 -3.8383e+000 +2.0118e+000 +1.0689e+000 -7.7799e-002 +3.6760e+000 +2.8838e+000 -1.2481e-001 -3.9108e+000 +2.3357e+000 +1.3659e+000
6720 +2.425616651e-003 +2.425616651e-003 +7.948242562e+001 +7.948242562e+001 +2.5394e-001 -1.1431e+000 -7.3258e-001 +1.9202e+000 -2.6725e+000 +4.5722e-001 -1.2093e-001 +1.2641e-001 -1.6367e+000 -3.0402e+000 -3.8431e+000 +2.0112e+000 +1.0725e+000 -8.3310e-002 +3.6657e+000 +2.8838e+000 -1.2644e-001 -3.9220e+000 +2.3513e+000 +1.3679e+000
6988 +1.558882602e-003 +1.558882602e-003 +7.948155888e+001 +7.948155888e+001 +2.5249e-001 -1.1438e+000 -7.3495e-001 +1.9229e+000 -2.6830e+000 +4.4217e-001 -1.3549e-001 +1.1802e-001 -1.6402e+000 -3.0490e+000 -3.8527e+000 +2.0134e+000 +1.0742e+000 -7.5870e-002 +3.6618e+000 +2.9015e+000 -1.3752e-001 -3.9168e+000 +2.3570e+000 +1.3636e+000
7330 +8.167289069e-004 +8.167289069e-004 +7.948081673e+001 +7.948081673e+001 +2.5257e-001 -1.1459e+000 -7.2012e-001 +1.9226e+000 -2.6802e+000 +4.4051e-001 -1.2028e-001 +1.1490e-001 -1.6386e+000 -3.0551e+000 -3.8443e+000 +2.0110e+000 +1.0759e+000 -7.7273e-002 +3.6587e+000 +2.9077e+000 -1.2672e-001 -3.9167e+000 +2.3575e+000 +1.3543e+000
7506 +5.168441824e-004 +5.168441824e-004 +7.948051684e+001 +7.948051684e+001 +2.4657e-001 -1.1468e+000 -7.2267e-001 +1.9254e+000 -2.6826e+000 +4.3957e-001 -1.1834e-001 +1.1611e-001 -1.6343e+000 -3.0506e+000 -3.8620e+000 +2.0075e+000 +1.0808e+000 -7.7192e-002 +3.6489e+000 +2.9087e+000 -1.2080e-001 -3.9212e+000 +2.3594e+000 +1.3614e+000
7823 +3.406509822e-004 +3.406509822e-004 +7.948034065e+001 +7.948034065e+001 +2.4572e-001 -1.1512e+000 -7.2187e-001 +1.9203e+000 -2.6829e+000 +4.4464e-001 -1.1191e-001 +1.1510e-001 -1.6324e+000 -3.0529e+000 -3.8520e+000 +2.0147e+000 +1.0839e+000 -8.1523e-002 +3.6453e+000 +2.9104e+000 -1.2061e-001 -3.9280e+000 +2.3567e+000 +1.3622e+000
8155 +2.334624334e-004 +2.334624334e-004 +7.948023346e+001 +7.948023346e+001 +2.4681e-001 -1.1512e+000 -7.2287e-001 +1.9196e+000 -2.6820e+000 +4.4288e-001 -1.1480e-001 +1.2016e-001 -1.6329e+000 -3.0509e+000 -3.8537e+000 +2.0160e+000 +1.0837e+000 -8.3923e-002 +3.6470e+000 +2.9084e+000 -1.1900e-001 -3.9323e+000 +2.3609e+000 +1.3615e+000
